"X1","X2","X3"
"No.11 :","今までのタブレットが相当古いOSでこのたび買い替えました当たり前ですが最初の作業は　Wi-Fiのインストールだと思いますが処理速度　は速いですね！その他画面　綺麗！大きさも小ぶり少し　軽い！値段も　安い！次回からこの値段なら2年　おきぐらいに買い替えても　いいですね！",4
"No.12 :","親へのプレゼントとして購入しました。自分の使用しているタブレットに比べると速度が遅いのが残念ですが、この値段であれば十分だと思います。画面も大きく見やすいです。最初から日本語に設定されているので、親でも使用出来ました。ただキーボードで打つのに慣れている父にはGboardは使用しづらいようで、キーボードをつなげられるのであればキーボードを追加購入してあげようと思います。他の方も書いていましたが、画面の保護フィルムは既に貼られた状態で届きました。充電もされていたので届いてすぐ使用出来ます。",4
"No.13 :","母へのプレゼント用で購入しました。Youtube、AmazonVideoを見るのがメインです。注文後、翌日に届きました。設定も難しくなく、すんなりできました。まだ使用して2日ですが、問題なく動作しています。動画も問題なく見れています。画質はすごく良いかといわれるとそこまで・・・という感じな気がします。ただ、親自身は気にならないと言っていますし、普通に見る分には問題ない程度です。欠点を上げるすれば、２つほど。・電池切れが早いときがある気がします。1時間程度で30％ほど減った時がありました。・重い。今時を考えると厚みがあって、少し重めかなと。ただ、ほとんど持ち運びはしないので問題ないと思います。トータルで考えると、メインで使用しないのであれば、十分だと思います。母は十分満足している様子なので、☆４つです。",4
"No.14 :","主に自宅のWi-FiでNetflixを見るために使用しています。私の使用状況ではサクサク動いており十分な性能だと思います。ただ１つ気になるのは、充電中に点灯するランプ？が無いようで、充電中に点灯するケーブルを購入して対応しました。",3
"No.15 :","動画の画質は良いです。あとは全てがクソオブクソ。バッテリーももちが悪い割になかなか充電が終わらない。カメラの画質もガラケーレベル。タッチ反応悪すぎて液晶パンチしたくなる。モンスト、パズドラ、ツムツムありとあらゆるゲームはインストール出来るが動作が悪すぎて遊べたもんじゃない。音ゲーなんて不可能です。YouTubeを見る為だけのものなのでほかは一切期待しないでください。安物買いの銭失い。同じ値段の中古の旧型iPadを買った方がいいです。オススメは出来ません。購入から2ヶ月、音量調節ボタンの反応が悪くなり音も出なくなりました。返品期限が短く既に返品不可納得いきません。クソチャイナ。",1
"No.16 :","ノートパソコンのセカンドディスプレイとして購入しました。Android10の所為かAirscreenというアプリを入れてもWindows10との間でMiracastは使えませんでした。しかし、spacedeskというアプリをノートパソコンとタブレットに入れたら無事セカンドディスプレイとして使えるようになりました。余計なアプリが最初から入ってない点が気に入ってます。画面が大きいのも良いですね。今度、電子書籍リーダーを入れてみたいと思ってます。",5
"No.17 :","YouTube閲覧とネットサーフィンを目的に購入しました。YouTubeとネットサーフィンは何の問題もなく動きます。パソコンとスマートフォンがあるのでタブレットは不要だと思ったのですがあると便利で、ネットでレシピを見つけて料理をする際や、旅行の移動時間の動画閲覧などスマホで事足りると思っていましたが、大画面だと便利さや楽しさが段違いです。また子供に渡す際によく落としたりするのでiPhoneだと修理費も高くつくためヒヤヒヤですがこれなら壊されても良いか位の軽い気持ちで子供に見せておくことができます。子供からすればiPhoneもこれも変わりませんからね。",5
"No.18 :","価格が価格なので過度な期待はしていませんでした。（私が購入したのはアマゾンアウトレットで約7800円）実際の性能はその低いハードルすら超える事は出来ませんでした。・動作は重くアプリが途中で落ちることもしばしば。・アウトカメラは800万画素とあるが・・・その実データが重いだけで画質はトイカメラ程度。・重い・USBはOTG機能が無く繋げない機器がある。・バッテリーの持ちはスマホ以下・ウィジェットの機能がない全体的にスマホの性能に大きく及びません。それに専用ケースと専用液晶保護フィルムが高すぎる！本体が7800円なのにケースとフィルムで3500円？！ですが7800円で一年保証（アマゾンが販売した商品なので）と思えば許すしかありません。星4つをつける事も2つにする事も出来ません。追記当初は上記のような感想でした・・・ですが気付くと充電用ケーブルがない！そしてバッテリーは6000mAhと表記があるが計測すると実際は4500～5000がいいとこ。「画像が綺麗」と言う方がいますが私には決してそうは思えません。そしてアプリが頻繁に落ちるようになり・・・我慢の限界を超え返品へ・・・その後、1万円

台中盤のCPU4コア 4GRAM メモリー64GB 6000mAhのタブレットを購入すると・・・動作はサクサク、バッテリー長持ち、OTGやウィジェットも使用出来スマホと遜色のない何ら問題の無いタブレットを購入出来ました。このタブレットの定価にプラス4千円で！しかも画質もきれいでバッテリーは長持ちなのに・・・サイズはコイツより一回り小さく軽い！！！あのデカさと重さは何だったんだ？",3
"No.19 :","↑Amazonで購入しました子供達が休日に自分のスマホを独占するのでその代わりにとタブレットを購入してみましたちなみにフォートナイトのプレイ人数を増やす目的もありました・・・結論を言うと、微妙な大きさと重さと操作性がイマイチらしく、子供達は相変わらず自分のスマホを使っていますし、スペックを満たしているはずのフォートナイトは、インストールしても非対応ってことでプレイ出来ず・・・ただ、自分の用途に合わなかっただけで物自体は悪くないので★３つです",3
"No.20 :","使用中のタブレットがOS含め古く動きが緩慢になり購入使用頻度、動画視聴メインですので性能には不満も無く快適に利用できそうですまた画質、スピーカーも予想を上回り妻が喜んでいますストレージも増え動画のダウンロードに余裕もできました設定も日本語説明書もあり簡単に利用できますただ以前のタブレットはHDMIケーブルでTVと接続できたのが便利でした",5
"No.21 :","以前タブレットをネットで購入した時の口コミに「1万円未満のは気をつけたほうがいい」とのことでしたが的中してしまいました( ･<U+0E31><U+FE4F>･<U+0E31>)肝心のウィジェットを画面に配置できません。色々、調べて試したんですがダメで以前、試しに使った『ホーム画面カスタマイズ』のアプリ『Nova』で「確かウィジェットの追加も出来たはず」と思い試しましたら出来ました！しかもAndroidのデフォルトの操作と同じなので簡単に出来ました！前のタブレットが壊れてこの約4000も安い物を買った訳ですがあとは問題なく使えてます。恐らくタブレットの開発者が「安くWi-Fiのみなのでウィジェットの機能は設定しない」と思い怠けたんでしょうね。なので「出来たら中国製の物は買いたくないんですが安い物は100％中国製なので仕方ない」と思い諦めてます(｡<U+2022><U+0301><U+FE3F><U+2022><U+0300>｡)",3
"No.22 :","持っていたiPadが古くなり、iosサポートがなくなってYouTubeの視聴もできなくなった為、急遽購入しました。10,000円しない商品だったので多少不安でしたが、YouTubeが見られればいいかなと思っており、YouTubeはバッチリ見れました。iPad、iPhoneしか使ったことがなかったのですが、設定は思っていたよりもずっと簡単で、15分くらいでアプリのインストールからなにまでやれました。ただ1点気になるのが音でした。iPadはタブレットの左右から音が出るような感覚でかなりクリアに聞こえていたのですが、こちらは耳をあてて確認してみると、タブレットの底の面から音が聞こえている感じがしました。なのでタブレットを何かに立てかけて使うと音がこもったような感じになるのが少し気になります。私は子供が子供向けのYouTubeを見れる事が主な目的だったのでそこまで気にはなりませんでしたが、音質にこだわる方や、iPadのようなクリアな音質がお好みの方は気をつけた方が良いかと思います。購入して1日使ってみましたが、YouTubeを高画質にしたからといってカクつくことなどはありませんでした。

ちなみに画質もiPadの方が良かったので、iPadを理想にして購入される方はやめた方がいいかな？と思います。でもこの値段ですからね。十分だと思います。",4
"No.23 :","プレイストアからインストールするときにこのデバイスで最適化されませんとあるがAndroid10でこんなことありますか？スマホのAndroid10だと最適化とか表示されないです。起動も遅いし重いしアプリは落ちるしで最悪な商品でしたね<U+203C><U+FE0F>重い起動が遅いアプリ落ち画質悪い音質悪いどこもいいところがない安物タブレット買って失敗しました。",1
"No.24 :","ルーターからの距離が制限されるようで、5メートル離れると電波が届かない、いつも使っているところがルーターから2メートル程度でなんとかつかえています、それでも反応はあまり良くないです、ただ価格的に手ごろな価格だけにこんなものだろうと予測して買っただけに予想通りの性能だから納得です、画面はきれいです、大きな問題はいまのところありません。",3
"No.25 :","子供のタブレット学習用に購入。アプリをインストールして起動し、問題に進もうとすると、真っ白にフリーズ。タスク削除しても出来ない。再インストールしてもできない。primevideoも画像が悪い。電池の消耗も早いですね。値段的にこんなものなのでしょうか。保護フィルムもついているのとついてないのがあるのでしょうか？うちのにはついていなかったので、すでに傷だらけです。少し残念です。",3
"No.26 :","プライムデーのセールで買いました！が、翌日も同じ値段、さらにまた値段が下がっているのは残念ですが、値段の割に不安要素なく普通に使えています。動きの早いゲームなどで使用している訳ではなく、YouTubeやプライムビデオ、PDFを見る程度ですが、特に問題なく使用しています。ありがたいのは、購入時に既にフィルムが貼られていることです。そこは感謝。つや消しフィルムだったらもっと嬉しかったですが（笑）フィルムを別に購入することを考えたら、かなりお買い得だと思いました。",4
"No.27 :","動画を見る為だけに使えればいいなと購入。画質、重さは特に問題なく使えるんですが、保護フィルムを剥がしたら画面に気泡が入りました。初期不良なのかな？と思いますが…保護フィルム剥がした程度で気泡が入るとは…ちょっと衝撃です。",1
"No.28 :","届いて直ぐ、設定をきちんとして通信環境も凄く良かったが、通信切断で良く落ちるのがちょっと苛ついた!キャッシュ削除色々、したが通信切断が直らない(￣∇￣<U+0665>)たまに今では、様子を見ながらゲームをしている感じ。とにかく良く画面が真っ黒に成ったり未だにしている！欠陥品か不良品だったのでは？(-_-メ)如何なってるんでしょうね、色々対処とかやりましたが改善されませんでした！故障してるのかも？良く通信切断がしょっちゅうです!タブレットの意味が全く無い！",1
"No.29 :","届くのを楽しみに待っていたので、届いてすぐ電源を入れたけれど入らない充電をしながら電源を入れてみたけれど画面がつかない説明書通り色々とやってみたけれど結局、何の反応もなく不良品のようで、すぐ返品しました楽しみにしてただけにガッカリで、新たに購入する気にすらならず",1
"No.30 :","買って充電したら54%しかならず、連絡して返品手続きしました。気に入って使いかけていたのに、残念でした。ただ、ショップの方の対応は早くて助かりました。",1
"No.31 :","主に動画でドラマを見る為に、購入しました。ダウンロードしてから見るので画質が乱れたりといった事も無く楽しんでいます。ちょっとした検索とか日常使いには十分。手頃な値段で、設定が得意でない私でも出来ました。",3
"No.32 :","Primevideoなど動画鑑賞用に購入。初期設定などは問題ありませんでしたが、いざ動画を見始めると残念な事に１本の映画鑑賞中字幕が読めない程度まで画質が粗くなることが３～４回。（YouTubeでも同じ症状は出ます）その都度止めてタイトル画面まで戻して再生しなおすということを繰り返しています。値段が安いので仕方がないのかもしれませんが残念です。画質も綺麗とは言いがたいので動画鑑賞されるのならこのタブレットはあまりおすすめしません。",2
"No.33 :","動作が結構遅いです。スマホやPCのようにサクサク動くという感じではありません。設定等は日本語の説明書があるため問題なし。youtubeなど動画を見るだけでしたら画面はかなり大きいのでストレスなく見れます。スマホで動画をみるには小さすぎるという方におすすめです。",4
"No.34 :","ビデオ通話（skypeとDUO）をするために購入。音声通話しかできません。わざわざレンタルで他社（HUAWAI)のタブレットを借りてきて比較実験をしましたが、HUAWAIはビデオ通話が難なくでき、コイツはダメ。音声通話からビデオ通話に切り替えるとWi-Fiのアンテナマークが消え回線が切れる。youtube専用となりました。",1
"No.35 :","翌日配達にもかかわらず、発送元の手違いからか遅延。楽しみにしていたのに、いざ充電して…接続してから半日経過しても全然立ち上がらず。すぐに使いたかったのでプライムで手配したのに、期待外れもいいとこです。即返品、交換の手配をかけましたが、交換は返金後に再度購入手続きを…メーカーから連絡もないので他の物を購入しました。",1
"No.36 :","タブレット本日受け取りました｡有り難うございます。無知な私でも説明書で､初期設定出来ました。画面は、綺麗で､バッテリーは、長時間持ち､１０インチと､大きないのですが、軽く､使いやすいです｡現在は、早速に､ゲームやりながら楽しんでいます。又よろしくお願いします。",5
"No.37 :","ゲームをする為、安いタブレットを探していたので商品を手にした時もたいして期待もしていなかったのですが、実際使ってみて以前使っていたNECの製品とほぼ遜色なく、非常に満足しています。Google playストアからYouTubeやYahooの野球ライブなどをインストールして毎日使わせてもらってます。",5
"No.38 :","お試しで安いから買ってみたけど、思ったよりも良い感じ。ただ、アプリで映画やアニメをみる人は不満があるかも…音が悪いwwイヤホンにしたら問題なしw後、若干だけど音声と画像がずれるから違和感がある。何か設定すれば直るのか？？うーん…わからんwゲームは少しロードが遅い様に感じるけど、そこまでゲームに拘ってるわけじゃないからいいやww 問題なしw",5
"No.39 :","まず付属品の充電のACが入っていなかった。なんとなくwi-fiの感度が低い気がします。部屋で動画見たりするようなので我慢できますが・・・室内のwi-fiの感度が怪しい方はやめた方が良いかもしれません。",3
"No.40 :","私はYouTube、Amazonプライムビデオといった動画視聴をメインで使っておりますが、画質、音質共に不満はありません。操作性は少しもっさりしています。私は普段iPhoneを使っていますが、それに比べてるともっさり感が否めません。これが嫌な方はもう少しお金を出して質の良いタブレットを買うことをお勧めします。バッテリーについては2、3時間使う程度なら問題ありません。値段が1万円と安価ですし私のように動画を見るだけで画質等にこだわりがない方は充分満足できます。",5
"No.41 :","ゲームはほぼインストールすら出来ません。YouTubeとネット検索程度なら問題ありません。予想通りでしたが少し残念です。",1
"No.42 :","購入して3日間使用した感想です。電池のヘリが早いです。動画を2時間ぐらい見て1日ギリギリ持つ感じです。何もしていなくても減少が早い気がします。画面のきれいさや、動きはスムーズとは言えないですが、許容範囲です。スピーカーからの音も普通です。（私は外部スピーカを使用していますが。）この価格としてはよくできていると思います。後は、どのくらい順調に動いてくれるかです。",4
"No.43 :","バッテリー、使わなくてもどんどん減るので毎日充電しています。価格的にはお手頃だし、Kindle利用のための購入でしたので使い勝手はとてもいいです。",3
"No.44 :","初期のiPadを使ってましたが、アプリ更新も出来なくなり　安価なもので探して購入手にした時は価格相応と感じましたが、自分が必要とする機能は十分でした。自分に不要な機能で重くなるのが嫌でしたが、機能や重量がこの価格で購入できて満足。Blu-rayリンクで朝ドラも外見れてます。",5
"No.45 :","音楽をストリーミングで流す用に購入。Wi-Fiが電波2.４GHzしかなく当方の設置場所はルーターから4mほどで速度1Mbps以下、音楽聴くのは問題なく使えますが、動画は厳しいです。ルーター1m以内に行くと10Mbpsほどになります。ちなみに同じルーターに5GHz帯で接続してるiPad、iPhoneは速度100～200Mbps出てます。画質悪く無いですが、動作は重い時が結構ありますが用途的には満足しています。",3
"No.46 :","ディスプレイの色が若干悪い、設定で変更しても上手く行きませんでした、それと充電中を知らせる灯火がないので、いちいちスイッチを操作して確認しています。その他は問題はありません自身が望むアプリは全て設定しました、要は使い慣れれば良いタブレットとなるでしょう。",4
"No.47 :","息子の野球ゲームアプリが出来ればと思い購入しましたが、反応が遅すぎてゲームになりませんでした。レビューを参考にして購入したつもりですが、YouTubeやTikTokなども遅いです。使っていなくても、時間が経てば充電は1日待たずに切れます。SNOWをやってみたら、縦画面にしたいのに、なぜかカメラが下じゃないと縦画面にならない。SNOWのフィルターが反応せず、結局アンインストール。小学校低学年までの子供が使うゲームアプリだと、まだ使えます。それ以上の子が使うような高度なアプリはやはり無理でした。でも、下の娘はとりあえず満足しているので、星は3です。",3
"No.48 :","主に動画を見たくて買いました。アプリの立ち上げはかなり遅いです。スマホでの早さに慣れていると余計に遅く感じます。それから画面の明るさが強烈なので目を傷めそうです。1番暗くしてもそれなりの明るさなので注意が必要ですね。私のやつだけかもしれないけど、充電器の差し込み口が歪んでいるのか差し込むのにコツがいりました。無理にはめようとすると部品を壊しそうでいつも不安。このタブレットは自信を持ってオススメは出来ないです。",3
"No.49 :","注文して、翌日届きました。スマホの大きい版で、設定や使用も簡単でした。職場でiPad使用していて、欲しいなぁとは思ってたのですが、なかなか手が出ずでした。検索してみるとピンからキリまであって迷いましたが、初回購入でこの低価格なら手を出せる！と思い購入しました。買って良かったです。基本動画を観るのに使いますが、使いこなせたら新しいことに挑戦してみたいです。",4
"No.50 :","約2ヶ月で電源落ちて充電しても電源立ち上がりません不良品です買って損しました",1
"No.51 :","すぐに液晶が割れてだめになってしまった。買わないほうがいいのでは。",1
"No.52 :","初めてのタブレット購入なので、使用感などは他の機種との比較は出来ないのですが、使用しているスマホがAndroidなので、使い初めも面倒な作業はほとんど無く、すぐにサクサクと使うことが出来ました。息子が言うにはiPadに比べたら動きが遅いらしいですが、動画やYouTubeを楽しむには充分です。価格も手頃だし、初心者には満足でした。",4
"No.53 :","2ヶ月使ってみました。画質もバッテリーも満足してます。前回使ってたタブレットが7年以上使ってたのでこの安さでタブレット買えて満足です。ゲームはしてないので分かりません。動画用なので、アムプラとかの動画アプリ使ってますが、反映が遅いです。そして外に持ち歩くには重いです。",4
"No.54 :","自宅のパソコンが急に起動しなくなったので（結局、修理が必要なことが判明）、とりあえず代わりになればと以前から気になってたタブレットで最新機種のこの機種を購入しました。アンドロイドのスマホを使用してる方なら操作の開始は全く問題なし。さらにはこんなちっぽけなタブレットでも、ほとんど問題なくパソコンと同様な操作ができて本当にビックリです。1万円ちょっとで、このパフォ－マンス。すごく満足してます。",5
"No.55 :","今は動画配信が充実しているので、様々な自己練習、勉強やレッスン、料理など自身やお子さんの為に利用するには十分です。少しアプリの起動に遅さを感じますがさほど気にはならないです。ピアノの練習用に画面の大きなタブレットが欲しかったので購入しました。",4
"No.56 :","注文の翌日に到着し、梱包もダンボール箱にクッション材が入れてあり、破損などなく問題ありませんでした。商品は箱から取り出し電源 ボタンを押して直ぐに立ち上がり、設定も日本語表記でWi-Fi接続、メール接続等簡単に完了しました。",4
"No.57 :","幼稚園児の子供が動画を見たり学習用に購入致しました。以前はarrowsのタブレットを使っておりまして、それに比べると少しだけ重いですが問題ありません。機械が苦手な私にも最初の設定などスムーズに行う事が出来ました。操作も簡単なので子供が自分で操作してます。私も、テレビがない場所でタブレットを使って動画を見ておりますが見やすいです。この値段でこのクオリティ、音や映像も問題ありません。買ってよかったです。",5
"No.58 :","ウィジェットに対応していないため即日返品しました。今どきウィジェット不可のタブレットって...。",1
"No.59 :","操作しやすい。きちんと日本語表記です(^O^)子供のゲーム用に購入しました。安いので期待はしていませんでしたが操作もしやすいようです。専用ケースもいただけるとのことで、とてもいい買い物になったとおもいます。もちが良ければ姉妹用にまた購入考えます(^○^)",4
"No.60 :","iPadも持っていますが、別に資料データ用に購入。動作速度や画質はiPadには劣りますが資料を見る分には全く遜色なし。コストパフォーマンスは満足出来るレベルです。今後は使いながらバッテリーも確認します。買って損はない商品かと思います。",5
"No.61 :","娘が頼んで注文したので評価が分からない。ので星一つです。許してください。",1
"No.62 :","大変満足していますタブレットに求めるのはインターネット検索、YouTube 程度なんですがストレスなく使用出来ますね。なにより価格が安いのに求めたパフォーマンスが可能なので大変満足！さらに画面保護シールが初めから貼られているので別途購入は不要な点もgoodおすすめです！",5
"No.63 :","新しいのに反応がそこまで良いとは感じなかった。背面が傷がつきやすい。開けたばかりなのにすぐに傷がついた。クックパッドがタブレット表示にならないのが残念。レシピと材料が別のスクロールになる方が見やすい。前使っていたのd-tabがそのような仕様だったのか…？YouTube見る分にはいいのかもしれない。そのまま子供用になりそう。お値段相応な感じ。お値段以上ではない。",3
"No.64 :","購入しておよそ3か月。電源投入後、画面上に倒れたドロイドくんが現れ「コマンドが指定されていません」と表示。他社製品ではネット上にレスキュー方法が書いてあるものの、COOPERSについては一件もなし。Amazonから問合せしたもののなしのつぶて。安物買いの銭失いでした。",1
"No.65 :","子どもの誕生日プレゼントで購入しました。家ではWi-Fi環境がないため、携帯テザリングで使用する為、購入しました。設定も問題なく、すんなり出来、YouTubeはストレスなく見ることができました。Android10で、この値段はお得です。一つ残念なのは、画面の保護シールの角が、折れていました。",4
"No.66 :","子供が前のタブレットを破壊したのでこれを。高いのはまたやられるので安価で済ませました。だが、軽くて綺麗。サクサク動き音も大きくなる。たまに固まるがネットワークのせいかな。",5
"No.67 :","ゲー厶はしないので評価はできませんが、YouTubeは途切れなく、問題無く見ることができ満足しています。本体購入後カバーを買いましたが、本体とカバーは同時購入をおすすめします。処理速度はひょっとしたら遅いかもしれませんが、そのつもりで使えば問題ありません。(うちのwifiが遅いのが原因かもしれません)",5
"No.68 :","メディアを読み込めませんでした。                        <U+00A0>初期化しても画面が勝手にタッチされるようになり使えません",1
"No.69 :","総合的に良い、良い買い物でした。画面が綺麗、画面の大きさ、動作はまあまあ、バッテリーの容量それなりの持続時間、難しい設定とかしなくても良いしPlayストアが使える、お手頃価格、と言った所です。高齢の母親がメイン使用であることから、このスペックで十分活躍しています。",5
"No.70 :","画面が大きくて使いやすいです！！タップしてからの反応も早いのでいい感じ(*ﾟ▽ﾟ*)海外で使ってますがサクサク動いて最高です！重さも個人的には気にならないです！！とても軽い方だと思います！！画質も綺麗で嬉しいです♪注文してから発送されるまでわずか５日！！（海外在住）めちゃめちゃ早くて驚きました！ありがとうございます♪( '▽｀)",5
"No.71 :","届いて電源ボタンを押したら、バッテリー92％の表示が出て消えてしまいました。長押ししても真っ暗のままで、結局、リセットをおして起動しました。漫画や小説をスマホで読むのが老眼でつらくなってきたので、お手頃のものを探していたので、その面では満足です。うちにある同じサイズのiPadより少し重いです。動画の起動は遅いです。バッテリーの持ちは良いと思います。",4
"No.72 :","ハズレを引いたようですリセットをかけても、全く反応無し中国製は、当たり、ハズレが多々あります返品期限内に結果が出たのが幸いでしたが購入を検討されている方は、気をつけて下さい",1
"No.73 :","このお値段だったら文句ありません。画質もきれいだし、重さも問題ない。あれこれ探してこれに決めて、正解だったと思います。使用はYouTubeなどの動画を見たり、検索したりなので、足りないことはないです。画面の保護シートもついていたのが、ポイントアップでした。",5
"No.74 :","普段はiPadを使っていますが、子供用にこちらを購入しました。使い方が少し違うので慣れるのに時間がかかると思いますが、大きな画面で見やすいです。細かい機能まではわかりませんが、基本的なことはすぐにできます。購入して良かったと思います！",4
"No.75 :","最初に注文したものはLEDの横ラインごとドット抜けしていたので返品し再度購入しました。ほぼYou Tubeを見るために利用しています。起動がやや遅いです。まだ使い始めですが最終的には耐久性で評価されると思います。",3
"No.76 :","画面がとてもキレイですタッチパネルの反応もよく設定なども普通に行えました大変満足しました",5
"No.77 :","購入後１ヶ月、ネット利用中に、キューっと大きな音が生じ、どのボタンを押しても反応無く、充電が切れるまで大きな音がしたまま、朝になり充電が切れました。返品しました。",1
"No.78 :","自宅での動画視聴を目的に購入しました。タブレットは初めてでしたがネットサーフィンや動画の視聴をしてみて画質は十分に綺麗で操作性も良いので非常に満足です。他のタブレットに比べて軽いのでどこでも持ち運べます。使いやすくて大満足です。",5
"No.79 :","梱包も問題なく届きました。設定も簡単にできました。この値段でとてもいい買い物ができたと思います。バッテリーはまだ使用したばかりで分かりませんがとりあえずは問題ありません。",5
"No.80 :","今回は、子供のYouTube閲覧やアプリ使用のために２台購入。まだ１台しか使っていませんが、今のところ普通にサクサク使えています。しばらく使ってみないとわからないところもありますが、落としたりしてすぐに壊してしまいがちな子供には、お値段もクウォリティもいいのではないでしょうか。",4
"No.81 :","YouTubeの再生、1080pの動画だとカクつきます。Bluetoothでスピーカーに接続すると遅延もすごいです。壊れたらまた買うかと聞かれたら答えはNOです。ただ普通に使えます。それが良さです。",3
"No.82 :","検索できずYouTubeは見れるけど他の動画は検索してもエラーYouTubeだけ",2
