recency,history,zip_code,channel,segment,visit
3,549.29,Surburban,Multichannel,No E-Mail,0
9,506.83,Rural,Multichannel,Mens E-Mail,0
3,143.93,Surburban,Phone,Womens E-Mail,0
10,115.4,Urban,Phone,Mens E-Mail,0
2,96.91,Surburban,Phone,Womens E-Mail,0
6,40.07,Surburban,Phone,Mens E-Mail,0
11,417.21,Urban,Phone,No E-Mail,0
9,61.57,Surburban,Phone,Womens E-Mail,0
5,222.07,Surburban,Phone,Womens E-Mail,0
1,259.91,Surburban,Web,No E-Mail,0
11,53.81,Urban,Phone,No E-Mail,0
9,154.15,Surburban,Web,Mens E-Mail,0
10,1009.44,Surburban,Multichannel,Womens E-Mail,0
2,278.8,Rural,Web,Mens E-Mail,0
10,31.12,Urban,Phone,Womens E-Mail,0
2,428.74,Rural,Phone,Mens E-Mail,0
7,612.28,Surburban,Phone,Womens E-Mail,0
11,228.09,Surburban,Web,No E-Mail,0
1,640.58,Urban,Phone,Mens E-Mail,0
4,194.11,Urban,Phone,No E-Mail,0
7,84.49,Urban,Web,No E-Mail,0
7,235.14,Urban,Phone,Mens E-Mail,0
2,29.99,Surburban,Phone,Mens E-Mail,0
7,272.32,Surburban,Web,Mens E-Mail,0
2,95.33,Surburban,Web,No E-Mail,1
5,494.26,Surburban,Phone,Mens E-Mail,0
2,809.07,Urban,Phone,Mens E-Mail,0
1,80.42,Urban,Phone,Womens E-Mail,0
10,237.85,Urban,Web,Womens E-Mail,0
2,82.59,Surburban,Phone,Womens E-Mail,0
6,165.77,Urban,Web,Womens E-Mail,1
3,101.61,Surburban,Phone,No E-Mail,0
8,52.64,Surburban,Web,No E-Mail,0
6,466.29,Urban,Multichannel,Mens E-Mail,0
3,100.85,Urban,Phone,Mens E-Mail,0
3,1397.57,Surburban,Multichannel,Mens E-Mail,0
2,770.58,Surburban,Phone,Mens E-Mail,0
3,1973.87,Surburban,Multichannel,No E-Mail,0
3,133.51,Urban,Web,Mens E-Mail,0
8,31.52,Surburban,Web,Mens E-Mail,0
1,47.44,Urban,Phone,Womens E-Mail,0
1,106.27,Surburban,Web,Womens E-Mail,0
11,215.46,Urban,Web,Womens E-Mail,0
11,189.25,Urban,Phone,No E-Mail,0
10,108.12,Urban,Web,Womens E-Mail,0
8,66.14,Surburban,Phone,No E-Mail,0
8,98.56,Surburban,Web,Womens E-Mail,0
6,129.14,Surburban,Web,Womens E-Mail,0
2,493.17,Surburban,Web,Womens E-Mail,0
11,146.04,Surburban,Phone,Mens E-Mail,0
12,29.99,Urban,Web,No E-Mail,0
2,66.6,Urban,Phone,Womens E-Mail,0
12,129.73,Surburban,Web,Womens E-Mail,0
4,54.41,Urban,Phone,Womens E-Mail,0
9,1172.42,Surburban,Web,Mens E-Mail,0
5,244.34,Urban,Web,Mens E-Mail,0
2,287.04,Urban,Phone,Womens E-Mail,0
4,29.99,Urban,Web,Womens E-Mail,0
9,151.01,Surburban,Web,No E-Mail,0
11,35.43,Urban,Phone,Mens E-Mail,0
5,84.17,Urban,Web,Womens E-Mail,0
3,313.6,Surburban,Phone,No E-Mail,0
1,117.27,Rural,Phone,Mens E-Mail,0
5,29.99,Surburban,Web,No E-Mail,0
3,1167.93,Rural,Web,Womens E-Mail,0
3,683.2,Rural,Multichannel,No E-Mail,0
1,110.07,Urban,Web,Mens E-Mail,0
1,102.94,Urban,Web,Womens E-Mail,0
2,29.99,Urban,Web,Mens E-Mail,0
11,160.04,Rural,Web,Mens E-Mail,0
1,418.68,Surburban,Web,No E-Mail,0
11,316.23,Urban,Phone,Mens E-Mail,0
12,253.06,Surburban,Phone,Womens E-Mail,0
9,329.96,Surburban,Phone,No E-Mail,0
7,185.73,Surburban,Phone,Mens E-Mail,0
11,52.08,Urban,Web,Womens E-Mail,0
1,616.73,Urban,Web,Mens E-Mail,0
9,123.39,Urban,Phone,Womens E-Mail,0
3,249.71,Surburban,Phone,No E-Mail,0
2,46.09,Urban,Web,No E-Mail,0
8,48.87,Surburban,Web,Mens E-Mail,0
10,77.37,Surburban,Phone,Womens E-Mail,0
4,270.24,Urban,Phone,No E-Mail,0
9,228.8,Surburban,Multichannel,Mens E-Mail,1
3,80.18,Urban,Phone,Womens E-Mail,0
11,131.76,Surburban,Web,Womens E-Mail,1
9,162.59,Urban,Phone,Mens E-Mail,1
12,87.62,Urban,Phone,Mens E-Mail,0
3,29.99,Surburban,Phone,Mens E-Mail,0
3,29.99,Urban,Web,Womens E-Mail,0
7,59.96,Urban,Web,Womens E-Mail,0
7,78.49,Rural,Web,Womens E-Mail,0
2,29.99,Surburban,Phone,Mens E-Mail,0
7,206.8,Surburban,Phone,Womens E-Mail,0
7,229.53,Surburban,Web,Mens E-Mail,1
1,439.93,Rural,Multichannel,No E-Mail,0
10,313.67,Rural,Phone,Womens E-Mail,1
7,29.99,Surburban,Web,Womens E-Mail,0
3,57.33,Surburban,Web,Womens E-Mail,1
2,289.55,Rural,Phone,No E-Mail,1
5,29.99,Surburban,Phone,Mens E-Mail,1
9,274.29,Surburban,Web,No E-Mail,0
1,293.37,Surburban,Phone,No E-Mail,0
12,29.99,Urban,Phone,No E-Mail,0
1,407.09,Surburban,Web,No E-Mail,0
1,142.4,Surburban,Phone,No E-Mail,0
1,29.99,Urban,Web,Mens E-Mail,0
12,284.54,Surburban,Web,Mens E-Mail,0
2,60.2,Surburban,Web,No E-Mail,0
4,1089.77,Urban,Multichannel,Mens E-Mail,0
7,29.99,Surburban,Web,Womens E-Mail,0
1,747.31,Rural,Web,Womens E-Mail,0
6,136.63,Urban,Web,Womens E-Mail,0
10,29.99,Rural,Web,Womens E-Mail,0
11,54.11,Urban,Web,Womens E-Mail,0
1,790.36,Urban,Multichannel,Mens E-Mail,0
4,36.49,Urban,Web,No E-Mail,0
12,271.89,Rural,Web,Mens E-Mail,0
5,399.46,Surburban,Web,Womens E-Mail,0
3,39.83,Urban,Phone,Mens E-Mail,1
10,153.58,Surburban,Phone,Womens E-Mail,0
5,269.99,Surburban,Phone,Mens E-Mail,0
2,29.99,Urban,Web,Womens E-Mail,0
4,292.61,Surburban,Multichannel,No E-Mail,0
2,576.02,Surburban,Web,Womens E-Mail,0
6,29.99,Surburban,Web,No E-Mail,0
9,116.3,Rural,Web,Mens E-Mail,1
5,29.99,Surburban,Web,No E-Mail,0
3,29.99,Urban,Web,No E-Mail,0
7,968.65,Surburban,Web,Womens E-Mail,0
7,39.78,Surburban,Web,Mens E-Mail,0
9,311.81,Urban,Multichannel,Womens E-Mail,1
1,720.17,Urban,Phone,Mens E-Mail,0
4,69.08,Urban,Phone,Mens E-Mail,0
12,80.56,Urban,Web,Womens E-Mail,0
1,301.19,Surburban,Web,No E-Mail,0
10,307.64,Urban,Multichannel,Mens E-Mail,0
7,481.56,Surburban,Web,Mens E-Mail,0
10,29.99,Surburban,Web,No E-Mail,0
1,895.43,Surburban,Web,Womens E-Mail,0
5,425.1,Rural,Phone,Mens E-Mail,0
10,36.28,Urban,Web,No E-Mail,0
4,413.46,Rural,Phone,Womens E-Mail,0
7,32.42,Surburban,Phone,No E-Mail,0
10,170.32,Urban,Phone,Womens E-Mail,0
1,150.93,Surburban,Web,No E-Mail,0
11,223.39,Rural,Phone,Womens E-Mail,0
1,506.51,Urban,Multichannel,No E-Mail,0
8,575.62,Urban,Multichannel,Mens E-Mail,0
3,29.99,Surburban,Web,Womens E-Mail,1
2,145.76,Surburban,Web,No E-Mail,1
1,29.99,Rural,Phone,Womens E-Mail,0
8,428,Surburban,Multichannel,No E-Mail,0
6,604.39,Urban,Phone,No E-Mail,0
8,171.88,Surburban,Phone,No E-Mail,0
4,370.86,Surburban,Multichannel,Womens E-Mail,0
8,138.62,Urban,Web,Womens E-Mail,0
7,29.99,Surburban,Web,Mens E-Mail,0
1,209.98,Surburban,Web,No E-Mail,1
3,166,Urban,Web,No E-Mail,0
10,88.37,Urban,Phone,Womens E-Mail,1
8,336.76,Surburban,Phone,Mens E-Mail,0
1,60.71,Rural,Phone,Womens E-Mail,0
4,356.73,Surburban,Web,No E-Mail,0
4,52.12,Urban,Phone,Mens E-Mail,0
7,406.7,Surburban,Phone,Mens E-Mail,0
6,277.81,Surburban,Multichannel,No E-Mail,0
1,181.98,Urban,Web,Mens E-Mail,0
2,112.13,Urban,Web,Womens E-Mail,0
5,29.99,Rural,Web,No E-Mail,0
5,439.26,Surburban,Multichannel,Womens E-Mail,0
8,64.16,Surburban,Web,Womens E-Mail,0
5,29.99,Surburban,Web,No E-Mail,1
6,29.99,Urban,Web,Mens E-Mail,0
2,591.95,Urban,Multichannel,Womens E-Mail,0
8,130.31,Surburban,Phone,No E-Mail,0
3,65.26,Urban,Web,Mens E-Mail,1
10,132.46,Urban,Phone,Womens E-Mail,0
4,225.89,Rural,Web,Womens E-Mail,0
2,115.56,Surburban,Web,No E-Mail,0
8,104.94,Urban,Phone,No E-Mail,0
7,69.44,Rural,Web,Mens E-Mail,1
10,47.47,Surburban,Phone,Womens E-Mail,0
1,215.08,Surburban,Web,Womens E-Mail,1
2,224.89,Urban,Multichannel,No E-Mail,0
9,201.75,Surburban,Phone,Womens E-Mail,0
5,354.03,Urban,Web,Mens E-Mail,0
10,151.43,Urban,Web,No E-Mail,0
11,120.14,Urban,Web,Mens E-Mail,0
5,159.41,Surburban,Phone,Womens E-Mail,1
5,290.86,Urban,Web,No E-Mail,0
4,87.2,Surburban,Phone,Womens E-Mail,1
11,81.06,Urban,Web,Mens E-Mail,0
10,55.11,Urban,Web,Mens E-Mail,0
1,513.83,Surburban,Multichannel,Mens E-Mail,0
4,770.38,Rural,Multichannel,No E-Mail,0
1,33.5,Surburban,Web,Mens E-Mail,0
2,56.25,Surburban,Phone,Mens E-Mail,0
2,1093.92,Surburban,Web,No E-Mail,0
1,752.8,Urban,Phone,No E-Mail,0
2,199.95,Surburban,Phone,No E-Mail,0
9,239.91,Rural,Phone,No E-Mail,0
8,43.16,Urban,Phone,No E-Mail,0
2,418.81,Surburban,Multichannel,No E-Mail,0
9,318.52,Urban,Web,Womens E-Mail,0
1,109.26,Surburban,Web,Womens E-Mail,1
3,67.4,Surburban,Web,Mens E-Mail,0
9,135.02,Surburban,Web,Womens E-Mail,0
10,54.25,Surburban,Web,Mens E-Mail,0
3,55.34,Surburban,Phone,Womens E-Mail,0
4,297.8,Urban,Phone,Womens E-Mail,1
4,146.49,Surburban,Phone,Womens E-Mail,0
7,329.26,Urban,Web,Mens E-Mail,0
1,29.99,Rural,Phone,Mens E-Mail,0
4,249.61,Urban,Phone,Womens E-Mail,0
5,39.52,Surburban,Phone,Mens E-Mail,0
1,307.58,Surburban,Multichannel,No E-Mail,0
6,92.32,Urban,Phone,Mens E-Mail,0
6,464.17,Surburban,Multichannel,Womens E-Mail,0
6,29.99,Surburban,Web,Womens E-Mail,0
2,435.33,Surburban,Web,Womens E-Mail,0
10,375.9,Urban,Web,Mens E-Mail,0
9,29.99,Urban,Web,Mens E-Mail,0
9,220.51,Urban,Multichannel,Mens E-Mail,0
5,180.28,Surburban,Phone,Womens E-Mail,0
6,78.69,Surburban,Phone,Mens E-Mail,0
2,350.48,Urban,Web,Womens E-Mail,0
3,376.14,Surburban,Phone,No E-Mail,0
1,179.63,Surburban,Phone,Mens E-Mail,1
6,164.51,Surburban,Phone,Womens E-Mail,1
8,59.76,Urban,Web,Mens E-Mail,0
11,29.99,Surburban,Web,Womens E-Mail,0
2,407.64,Urban,Web,Womens E-Mail,0
1,143,Urban,Phone,Womens E-Mail,0
4,320.17,Urban,Phone,Mens E-Mail,0
1,103.07,Surburban,Web,Mens E-Mail,0
10,35.84,Urban,Phone,No E-Mail,0
3,190.66,Surburban,Web,Womens E-Mail,0
2,90.91,Surburban,Web,Mens E-Mail,0
5,215.03,Urban,Web,No E-Mail,0
1,856.4,Urban,Web,No E-Mail,0
10,139.83,Urban,Phone,Mens E-Mail,0
10,245.09,Urban,Multichannel,No E-Mail,0
6,127.2,Surburban,Phone,No E-Mail,0
1,470.65,Urban,Phone,Mens E-Mail,0
1,59.13,Urban,Web,Mens E-Mail,0
3,327.1,Surburban,Web,No E-Mail,0
1,399.72,Surburban,Phone,Mens E-Mail,1
3,29.99,Urban,Phone,No E-Mail,0
6,398.03,Surburban,Phone,No E-Mail,0
4,134.24,Urban,Web,Mens E-Mail,1
10,290.55,Surburban,Web,Mens E-Mail,0
7,29.99,Surburban,Web,No E-Mail,0
4,87.69,Surburban,Web,Mens E-Mail,0
10,335.77,Rural,Multichannel,Womens E-Mail,0
12,465.37,Rural,Multichannel,No E-Mail,0
12,75.26,Urban,Phone,Womens E-Mail,0
10,327.18,Urban,Phone,Womens E-Mail,0
1,188.89,Surburban,Web,No E-Mail,0
4,49.8,Urban,Web,Mens E-Mail,0
7,688.51,Rural,Multichannel,Womens E-Mail,0
3,229.42,Rural,Multichannel,No E-Mail,0
1,253.18,Surburban,Multichannel,Mens E-Mail,0
2,156.4,Surburban,Web,Mens E-Mail,0
2,196.93,Rural,Web,Womens E-Mail,0
4,557.47,Urban,Web,No E-Mail,0
12,177.66,Surburban,Phone,Womens E-Mail,1
9,29.99,Surburban,Phone,Womens E-Mail,0
11,140.07,Urban,Web,Mens E-Mail,0
10,168.04,Urban,Web,No E-Mail,0
5,173.65,Urban,Web,Womens E-Mail,0
4,164.7,Surburban,Phone,No E-Mail,0
2,57.53,Urban,Phone,No E-Mail,0
10,29.99,Urban,Web,Womens E-Mail,0
3,188.19,Urban,Phone,Mens E-Mail,1
10,29.99,Surburban,Web,No E-Mail,1
1,35.23,Urban,Phone,Mens E-Mail,0
4,63.22,Surburban,Web,Womens E-Mail,0
4,550.59,Surburban,Web,No E-Mail,0
6,232.94,Surburban,Multichannel,Mens E-Mail,0
11,91.23,Urban,Web,Womens E-Mail,0
2,571.53,Rural,Multichannel,Womens E-Mail,0
1,169.31,Rural,Web,Womens E-Mail,0
10,205.88,Urban,Phone,No E-Mail,0
1,1281.48,Urban,Phone,Mens E-Mail,0
3,29.99,Urban,Web,No E-Mail,1
3,542.16,Urban,Phone,Mens E-Mail,1
7,424.6,Surburban,Phone,Womens E-Mail,0
6,507.25,Urban,Phone,Mens E-Mail,0
10,29.99,Rural,Web,Mens E-Mail,0
2,373.14,Urban,Multichannel,Womens E-Mail,1
7,60.02,Surburban,Phone,Mens E-Mail,0
1,68.5,Urban,Phone,No E-Mail,0
11,37.45,Urban,Phone,No E-Mail,0
2,38.34,Urban,Web,Womens E-Mail,0
5,545.73,Surburban,Multichannel,Womens E-Mail,0
4,70.39,Surburban,Web,No E-Mail,0
6,98.8,Rural,Phone,Mens E-Mail,1
9,29.99,Urban,Web,Womens E-Mail,0
5,556.5,Rural,Web,Mens E-Mail,0
4,29.99,Urban,Phone,Womens E-Mail,0
6,136.26,Rural,Web,No E-Mail,0
2,936.63,Urban,Phone,Womens E-Mail,0
9,172.14,Urban,Phone,Mens E-Mail,0
2,203.52,Urban,Multichannel,No E-Mail,1
1,422.81,Urban,Phone,Womens E-Mail,1
10,320.11,Rural,Web,No E-Mail,0
12,29.99,Surburban,Phone,Womens E-Mail,0
8,267.25,Surburban,Phone,Mens E-Mail,0
11,164.9,Surburban,Phone,Womens E-Mail,0
11,265.39,Surburban,Multichannel,Womens E-Mail,0
9,744.22,Rural,Web,No E-Mail,0
3,99.25,Surburban,Phone,No E-Mail,0
5,62.49,Rural,Web,No E-Mail,0
4,72.66,Surburban,Phone,Mens E-Mail,0
10,333.65,Surburban,Web,No E-Mail,0
7,340.18,Urban,Phone,No E-Mail,0
4,300.58,Surburban,Web,Womens E-Mail,0
10,62.63,Surburban,Phone,Mens E-Mail,0
10,357.28,Surburban,Web,Womens E-Mail,0
5,283.55,Urban,Phone,No E-Mail,0
9,48.93,Rural,Phone,Womens E-Mail,0
9,54.34,Surburban,Phone,Mens E-Mail,1
5,247.82,Urban,Phone,Mens E-Mail,0
11,178.56,Urban,Phone,Mens E-Mail,0
2,86.38,Urban,Web,Mens E-Mail,0
7,233.4,Urban,Multichannel,No E-Mail,0
2,189.67,Rural,Web,Womens E-Mail,0
1,1524.15,Rural,Web,No E-Mail,0
5,544.43,Urban,Web,Womens E-Mail,0
8,60.69,Urban,Phone,Womens E-Mail,0
10,57.71,Surburban,Web,Mens E-Mail,0
4,410.86,Urban,Web,No E-Mail,0
6,40.24,Surburban,Phone,Mens E-Mail,0
9,535.17,Surburban,Web,Mens E-Mail,0
3,584.63,Surburban,Web,No E-Mail,0
1,29.99,Urban,Phone,Mens E-Mail,0
3,1570.59,Urban,Web,Womens E-Mail,0
5,119.47,Surburban,Phone,No E-Mail,0
7,68.86,Surburban,Phone,No E-Mail,0
3,68.81,Urban,Phone,Mens E-Mail,0
9,165.62,Urban,Web,No E-Mail,0
1,686.08,Urban,Web,No E-Mail,0
3,263.07,Surburban,Web,Womens E-Mail,0
5,568.26,Surburban,Multichannel,Womens E-Mail,0
7,145.89,Urban,Phone,No E-Mail,0
2,190.4,Rural,Web,Womens E-Mail,1
5,964.59,Surburban,Phone,No E-Mail,0
10,158.55,Surburban,Phone,Womens E-Mail,0
7,578.35,Surburban,Web,Mens E-Mail,1
7,93.33,Urban,Web,No E-Mail,0
9,157.76,Urban,Phone,Womens E-Mail,0
2,762,Surburban,Web,Womens E-Mail,0
5,29.99,Surburban,Phone,Womens E-Mail,0
2,235.19,Urban,Multichannel,Womens E-Mail,0
5,42.3,Urban,Phone,No E-Mail,0
4,474.94,Urban,Web,Mens E-Mail,0
7,291.88,Urban,Multichannel,No E-Mail,0
3,80.51,Surburban,Web,Womens E-Mail,0
2,224.69,Urban,Web,Womens E-Mail,0
6,32.17,Urban,Phone,Mens E-Mail,0
4,553.42,Rural,Web,Womens E-Mail,1
1,219.3,Surburban,Phone,Womens E-Mail,0
1,200.26,Surburban,Multichannel,No E-Mail,0
8,1137.96,Surburban,Phone,Mens E-Mail,0
8,29.99,Urban,Phone,Womens E-Mail,0
9,51.53,Surburban,Phone,No E-Mail,0
3,177.36,Surburban,Web,Mens E-Mail,0
9,34.75,Urban,Web,No E-Mail,0
8,402.84,Surburban,Phone,No E-Mail,0
1,276.21,Surburban,Phone,No E-Mail,0
1,960.02,Rural,Web,No E-Mail,1
1,100.92,Urban,Web,No E-Mail,0
7,770.87,Urban,Phone,Womens E-Mail,0
7,63.95,Urban,Phone,Womens E-Mail,0
7,348.44,Surburban,Web,Mens E-Mail,0
11,29.99,Rural,Web,Mens E-Mail,0
3,216.08,Urban,Phone,No E-Mail,0
3,211.88,Surburban,Web,Womens E-Mail,0
9,129.46,Urban,Phone,Mens E-Mail,0
11,189.23,Surburban,Web,Womens E-Mail,0
10,149.31,Rural,Phone,Womens E-Mail,0
4,218.92,Surburban,Web,Mens E-Mail,1
3,109.34,Surburban,Phone,Mens E-Mail,0
2,32.18,Surburban,Web,Mens E-Mail,0
7,287.73,Urban,Web,No E-Mail,1
4,29.99,Urban,Phone,No E-Mail,0
12,98.17,Surburban,Web,No E-Mail,0
3,297.33,Urban,Phone,Womens E-Mail,0
5,728.99,Urban,Web,Mens E-Mail,0
9,483.16,Urban,Phone,Mens E-Mail,1
4,93.36,Surburban,Phone,No E-Mail,0
2,542.34,Urban,Phone,No E-Mail,0
9,44.68,Urban,Phone,No E-Mail,0
6,265.61,Surburban,Multichannel,Womens E-Mail,1
4,184.47,Rural,Phone,Womens E-Mail,0
8,69.67,Rural,Web,Womens E-Mail,0
2,188.03,Urban,Phone,No E-Mail,0
1,1873.15,Urban,Phone,Womens E-Mail,0
1,132.46,Urban,Phone,No E-Mail,0
8,167.05,Urban,Phone,No E-Mail,0
3,179.31,Urban,Web,No E-Mail,0
1,101.99,Surburban,Web,Womens E-Mail,1
1,290.03,Urban,Web,No E-Mail,1
1,89.59,Surburban,Web,Mens E-Mail,0
4,29.99,Surburban,Web,Womens E-Mail,0
2,851.45,Rural,Web,No E-Mail,1
1,248.43,Surburban,Phone,No E-Mail,0
3,141.2,Surburban,Phone,No E-Mail,0
9,69.9,Surburban,Web,Womens E-Mail,0
7,29.99,Urban,Web,No E-Mail,0
6,113.6,Surburban,Phone,No E-Mail,0
10,29.99,Urban,Web,Womens E-Mail,0
9,302.52,Urban,Phone,Mens E-Mail,0
3,73.99,Surburban,Phone,No E-Mail,0
1,79.5,Surburban,Web,No E-Mail,0
12,103.6,Rural,Phone,No E-Mail,0
1,137.29,Urban,Phone,No E-Mail,0
8,34.8,Surburban,Phone,Womens E-Mail,0
6,114.74,Urban,Web,No E-Mail,1
8,244.94,Surburban,Phone,Womens E-Mail,0
1,452.72,Rural,Web,Womens E-Mail,0
5,29.99,Urban,Web,Mens E-Mail,0
1,386.11,Urban,Multichannel,Mens E-Mail,0
8,45.78,Surburban,Phone,No E-Mail,0
6,358.77,Surburban,Web,No E-Mail,0
5,141.74,Surburban,Web,No E-Mail,0
9,205.33,Surburban,Multichannel,Mens E-Mail,0
1,629.85,Urban,Web,Mens E-Mail,1
9,64.09,Surburban,Phone,Womens E-Mail,0
4,162.56,Urban,Phone,Womens E-Mail,0
9,383.77,Surburban,Phone,Mens E-Mail,1
6,64.33,Rural,Web,No E-Mail,1
11,143.65,Urban,Phone,Womens E-Mail,0
12,63.28,Urban,Phone,Mens E-Mail,0
6,108.83,Urban,Phone,Mens E-Mail,0
4,121.87,Rural,Web,No E-Mail,0
10,489.29,Surburban,Phone,Mens E-Mail,0
2,199.97,Surburban,Phone,Mens E-Mail,0
4,614.83,Urban,Multichannel,No E-Mail,0
5,103.44,Rural,Web,Womens E-Mail,1
9,199.38,Urban,Phone,Mens E-Mail,0
4,224.04,Urban,Web,No E-Mail,0
3,80.65,Surburban,Web,Womens E-Mail,1
3,66.47,Rural,Web,Mens E-Mail,0
9,33.63,Rural,Phone,No E-Mail,0
6,528.03,Urban,Multichannel,Womens E-Mail,0
10,29.99,Surburban,Web,Womens E-Mail,0
2,109.81,Urban,Web,No E-Mail,1
10,507.15,Rural,Web,Womens E-Mail,0
10,161.43,Surburban,Web,No E-Mail,1
12,90.15,Surburban,Web,Mens E-Mail,0
1,567.13,Rural,Phone,Womens E-Mail,0
1,681.12,Rural,Phone,Mens E-Mail,0
9,198.54,Urban,Phone,No E-Mail,0
11,301,Surburban,Web,No E-Mail,0
2,378.5,Urban,Web,Mens E-Mail,1
10,131.95,Surburban,Phone,No E-Mail,1
6,179.51,Urban,Phone,Womens E-Mail,0
10,375.34,Rural,Web,No E-Mail,0
8,29.99,Surburban,Phone,Womens E-Mail,0
1,286.31,Surburban,Web,No E-Mail,0
7,600.13,Urban,Phone,No E-Mail,0
6,107.42,Urban,Web,No E-Mail,0
1,1515.82,Surburban,Multichannel,Womens E-Mail,1
2,102.99,Surburban,Phone,No E-Mail,0
10,317.16,Urban,Web,Womens E-Mail,0
7,297.6,Surburban,Web,No E-Mail,0
10,599.06,Urban,Web,Womens E-Mail,0
10,29.99,Urban,Web,Womens E-Mail,0
1,783.8,Surburban,Web,No E-Mail,0
9,89.96,Surburban,Web,Mens E-Mail,1
8,155.75,Urban,Phone,No E-Mail,0
11,29.99,Surburban,Phone,Womens E-Mail,0
5,47.98,Urban,Web,Womens E-Mail,0
8,135.67,Rural,Web,Mens E-Mail,0
11,504.86,Rural,Multichannel,Womens E-Mail,0
1,904.58,Surburban,Phone,Womens E-Mail,1
11,312.41,Urban,Web,Womens E-Mail,0
9,404.03,Urban,Multichannel,No E-Mail,0
7,251.05,Surburban,Multichannel,Womens E-Mail,1
1,30.01,Urban,Web,Womens E-Mail,0
1,155.65,Urban,Web,No E-Mail,0
12,36.67,Urban,Web,Mens E-Mail,1
12,49.27,Urban,Phone,Womens E-Mail,0
1,563.7,Surburban,Multichannel,Mens E-Mail,0
6,265.2,Surburban,Phone,Mens E-Mail,0
1,357.56,Surburban,Phone,No E-Mail,0
11,206.97,Surburban,Web,Mens E-Mail,0
7,1222.53,Rural,Phone,Mens E-Mail,1
5,67.55,Surburban,Phone,Mens E-Mail,0
9,108.59,Rural,Web,Mens E-Mail,0
1,615.04,Surburban,Phone,No E-Mail,0
7,153.17,Rural,Phone,Mens E-Mail,0
9,40.16,Urban,Phone,Womens E-Mail,0
4,127.51,Urban,Web,No E-Mail,0
8,60.9,Rural,Phone,No E-Mail,0
1,234.17,Rural,Phone,No E-Mail,0
12,145.27,Urban,Web,Mens E-Mail,0
11,112.61,Urban,Web,No E-Mail,0
5,168.1,Surburban,Web,No E-Mail,0
1,745.63,Urban,Multichannel,Womens E-Mail,0
6,29.99,Surburban,Web,Womens E-Mail,0
5,37.79,Surburban,Web,No E-Mail,0
8,772.55,Surburban,Web,Womens E-Mail,0
4,70.16,Surburban,Web,No E-Mail,0
7,115.07,Surburban,Phone,Womens E-Mail,0
3,248.26,Surburban,Multichannel,Womens E-Mail,0
6,65.1,Urban,Phone,Mens E-Mail,0
1,585.14,Surburban,Multichannel,Womens E-Mail,0
9,297.59,Surburban,Phone,Mens E-Mail,1
