hour	h.choice income	age	edu	n1	n2	n3	race	home	lur
0	1	 186	32	10	1	1	0	0	1	6
0	1	 76	60	7	0	0	0	0	1	5
2196	5	 307	31	13	0	2	0	0	1	5
0	1	 332	35	14	2	1	0	0	1	5
0	1	 50	60	7	0	0	0	0	0	5
780	3	 380	40	12	1	0	1	0	1	9
0	1	 1860	61	12	0	0	0	0	1	5
1482	4	 184	25	12	1	0	0	0	0	5
436	2	 170	23	12	2	0	0	0	0	5
700	2	 520	53	12	0	0	0	0	1	5
1365	4	 2680	48	16	0	0	0	0	1	6
960	3	 265	29	16	2	0	0	0	1	6
258	2	 350	31	12	0	1	0	0	1	6
1800	5	 160	24	14	0	0	0	0	0	6
1687	4	 374	35	12	0	0	1	0	1	3
58	2	 395	44	10	0	0	0	0	1	3
2096	5	 564	42	12	0	0	1	0	1	3
648	2	 46	23	17	0	0	0	0	0	9
1750	4	 505	60	12	0	0	0	0	1	3
1470	4	 322	29	13	0	0	0	1	0	7
1224	3	 237	36	14	0	2	0	0	1	3
2000	5	 0	29	12	1	0	0	0	1	5
1306	4	 485	32	16	1	0	0	0	1	3
892	3	 355	27	12	1	0	0	0	1	3
2064	5	 461	43	12	0	0	1	0	1	3
1920	5	 319	45	15	0	1	0	0	1	5
1164	3	 300	38	17	0	1	0	0	0	3
1800	5	 137	38	12	0	1	1	0	1	6
2034	5	 450	43	12	0	0	0	0	1	5
2072	5	 40	22	13	0	0	0	0	0	2
1920	5	 564	35	12	0	1	0	0	1	4
1040	3	 106	54	11	0	0	0	0	1	1
768	3	 158	28	14	2	0	0	0	1	1
1896	5	 130	26	11	0	0	0	0	0	1
1043	3	 379	56	16	0	0	0	0	1	5
0	1	 240	42	12	1	1	1	0	1	11
0	1	 294	46	7	1	1	0	0	1	4
1985	5	 133	35	11	0	0	1	0	1	4
1752	5	 250	28	14	1	0	0	0	1	4
1775	5	 100	24	12	1	0	0	0	0	4
942	3	 120	24	14	0	0	0	0	0	7
1992	5	 112	26	12	0	0	0	0	1	4
394	2	 278	30	12	0	2	0	0	1	4
0	1	 476	27	12	2	1	0	0	1	4
0	1	 562	51	12	0	0	0	0	1	4
1976	5	 24	22	12	0	0	0	0	0	7
2205	5	 90	48	11	0	0	1	0	1	7
1920	5	 200	25	11	1	0	0	0	1	7
1974	5	 276	41	12	0	0	0	0	1	7
2064	5	 182	24	14	1	0	0	0	1	4
0	1	 70	22	12	1	0	0	0	0	6
1800	5	 97	41	13	0	0	1	0	0	8
784	3	 180	39	10	0	0	1	0	1	5
2470	6	 424	39	17	0	1	1	0	1	5
1940	5	 198	27	17	0	0	0	0	0	4
0	1	 170	56	14	0	0	0	0	1	5
0	1	 80	24	13	1	0	0	0	1	5
0	1	 624	50	10	0	0	0	0	0	4
0	1	 286	30	10	0	4	0	0	0	5
793	3	 79	24	10	2	0	0	0	1	9
864	3	 136	26	14	1	0	0	0	0	3
1750	4	 342	58	12	0	0	0	0	1	3
1976	5	 80	30	12	0	0	0	0	0	3
1887	5	 329	53	12	0	0	0	0	1	3
1970	5	 366	29	12	0	2	0	0	1	8
1896	5	 83	63	12	0	0	0	0	1	3
2055	5	 174	24	12	0	2	0	0	0	6
2026	5	 194	26	14	1	0	0	0	0	3
1452	4	 237	26	11	0	0	0	0	1	3
1656	4	 180	38	17	1	1	0	0	1	11
2000	5	 650	33	16	0	0	0	0	1	2
2168	5	 356	39	17	0	1	1	0	1	3
2000	5	 116	48	12	0	0	0	0	1	7
0	1	 292	63	13	0	0	0	0	1	7
0	1	 77	60	12	0	0	0	0	1	4
2592	6	 280	35	10	0	0	0	0	1	4
1215	3	 680	60	17	0	0	0	0	1	5
0	1	 985	28	13	2	1	0	0	1	4
972	3	 138	18	11	1	0	0	0	1	5
0	1	 261	34	12	3	1	0	0	1	5
1936	5	 267	45	11	0	0	0	0	1	5
1242	3	 180	29	12	1	0	0	0	1	5
2295	6	 440	41	16	0	1	0	0	1	7
1644	4	 354	57	12	0	0	0	0	1	6
2350	6	 156	29	12	0	0	0	0	1	6
2160	5	 730	48	14	0	0	0	0	1	6
1190	3	 315	23	14	0	0	0	0	1	5
1000	3	 202	35	12	0	1	1	0	1	3
436	2	 360	31	17	1	0	0	0	1	6
0	1	 283	44	12	0	0	1	0	1	2
1331	4	 397	51	12	0	0	0	0	1	5
2184	5	 675	32	16	2	0	0	0	1	7
1263	4	 115	39	12	0	2	0	0	0	5
1568	4	 279	26	13	1	0	0	0	1	5
0	1	 473	49	11	0	0	1	0	1	5
1606	4	 312	29	15	0	2	0	0	1	5
1372	4	 291	24	14	2	0	0	0	1	4
2205	5	 810	33	14	0	1	0	0	1	2
490	2	 417	36	16	1	1	0	0	1	6
0	1	 471	47	9	0	0	0	0	1	8
1035	3	 220	21	14	0	0	0	0	0	5
294	2	 497	42	13	0	2	1	0	1	8
1904	5	 198	22	13	1	0	0	0	0	8
1901	5	 445	40	12	0	0	0	0	1	9
1386	4	 184	23	10	4	1	0	0	0	2
2006	5	 265	45	10	0	0	0	0	1	2
696	2	 347	63	17	0	0	0	0	1	6
0	1	 95	25	12	1	0	0	0	0	5
0	1	 233	63	12	0	0	0	0	1	8
1908	5	 348	29	14	0	0	0	0	1	6
691	2	 410	36	12	1	1	0	0	1	4
0	1	 383	57	14	0	0	0	0	1	3
243	2	 496	42	16	0	2	0	0	0	3
1225	3	 270	39	16	1	1	0	0	1	5
0	1	 412	42	12	0	2	1	0	1	3
0	1	 4566	46	17	0	0	1	0	1	3
0	1	 473	58	12	0	0	0	0	1	6
0	1	 290	33	12	0	1	0	0	1	5
1680	4	 520	33	16	0	1	0	0	0	4
0	1	 1123	47	15	0	0	0	0	1	5
1536	4	 348	51	12	0	0	0	1	1	3
2000	5	 694	27	12	1	0	0	0	1	3
936	3	 210	26	12	1	1	0	0	0	4
1518	4	 242	29	12	1	0	0	0	0	3
1544	4	 290	37	17	0	0	0	0	0	6
2032	5	 522	41	14	0	1	0	0	1	3
0	1	 1578	48	13	0	2	0	0	1	7
298	2	 181	62	5	0	0	0	0	1	4
735	2	 500	32	15	0	0	0	0	1	4
1888	5	 337	34	12	1	0	0	0	1	6
0	1	 582	55	10	0	0	0	0	1	4
0	1	 383	30	16	3	0	0	0	1	4
1200	3	 415	31	12	2	0	0	0	1	3
958	3	 459	43	9	0	1	1	0	1	7
1365	4	 463	41	14	0	0	0	0	1	7
1080	3	 90	44	12	0	0	0	0	0	6
2056	5	 273	34	14	0	0	0	0	1	5
0	1	 477	59	12	0	0	0	0	1	4
1733	4	 697	36	12	0	1	0	0	1	4
2232	5	 178	26	12	1	0	0	0	1	4
2056	5	 271	23	10	1	0	0	0	1	4
325	2	 313	32	12	0	3	0	0	1	4
2070	5	 396	26	16	0	0	0	0	0	9
2500	6	 400	51	12	0	0	0	0	1	5
1694	4	 403	41	13	0	0	0	0	1	7
2178	5	 280	48	17	0	0	0	0	1	3
0	1	 110	38	9	0	0	2	1	1	3
0	1	 140	32	12	0	2	0	1	0	3
1976	5	 293	45	15	0	0	1	0	1	6
682	2	 430	39	12	0	1	0	0	1	6
2048	5	 100	23	16	1	0	0	0	0	10
1872	5	 350	33	17	1	2	0	1	1	10
2080	5	 80	31	11	0	1	0	1	1	5
2360	6	 287	50	17	0	0	0	0	1	7
1414	4	 353	48	13	0	0	0	0	1	7
1916	5	 267	40	12	0	1	1	0	1	3
2000	5	 460	35	16	1	1	0	0	1	6
1880	5	 1000	61	12	0	0	0	0	1	4
0	1	 600	37	17	1	1	0	0	1	6
2156	5	 156	27	14	0	0	0	0	1	5
2726	6	 185	31	14	0	0	0	0	1	5
3792	6	 70	31	17	3	0	0	0	1	6
1932	5	 110	32	13	0	1	0	1	0	6
1920	5	 313	38	14	1	0	0	0	1	9
0	1	 360	30	12	1	2	0	0	1	3
1109	3	 433	56	12	0	0	0	0	1	5
2250	5	 259	21	14	0	0	0	0	0	5
2142	5	 233	34	12	0	0	0	0	1	3
0	1	 270	26	13	2	0	0	0	0	6
1750	4	 446	55	11	0	0	0	0	1	3
0	1	 752	43	16	0	2	0	0	1	3
0	1	 406	39	11	0	0	2	0	1	3
2040	5	 189	25	12	1	0	0	0	0	3
2208	5	 51	24	15	0	0	0	0	0	5
1960	5	 300	62	12	0	0	0	0	1	3
0	1	 219	47	9	0	0	0	0	1	3
2322	6	 473	40	12	0	0	1	0	1	2
0	1	 291	51	12	0	1	0	0	1	8
630	2	 270	29	12	3	0	0	0	0	8
0	1	 930	35	16	1	1	0	0	1	4
2570	6	 350	39	13	0	0	1	0	1	4
1970	5	 61	22	13	0	0	0	0	0	4
0	1	 590	43	14	0	1	0	0	1	4
511	2	 320	44	14	0	2	1	0	1	5
2033	5	 197	27	14	0	0	0	0	1	9
390	2	 151	23	10	2	0	0	0	0	4
1680	4	 280	34	12	0	2	1	0	1	4
1120	3	 129	29	12	2	1	0	0	0	4
688	2	 39	25	14	2	0	0	0	0	9
0	1	 88	39	9	0	0	0	0	1	9
1960	5	 363	39	12	0	0	2	1	1	9
0	1	 358	48	15	0	0	0	0	1	8
0	1	 352	60	11	0	0	0	0	1	4
2783	6	 320	36	14	0	0	1	0	1	4
1480	4	 290	34	16	0	2	0	0	1	7
1480	4	 185	33	12	1	0	0	0	0	5
1392	4	 190	30	12	0	3	0	0	1	7
1652	4	 196	32	14	1	1	0	0	1	7
1826	5	 280	27	16	0	0	0	0	1	4
1600	4	 260	49	17	0	0	0	0	1	7
1240	3	 100	26	12	0	0	0	0	1	5
0	1	 297	59	12	0	0	0	0	1	6
