Customer,M,F,R,DM
619,207231,19,6,yes
620,307017,18,29,yes
621,266475,12,4,yes
622,175403,19,26,yes
623,221031,11,9,yes
624,254144,5,51,no
625,44036,7,92,no
626,271686,17,14,yes
627,284955,16,44,yes
628,232966,3,68,no
629,145375,11,31,no
630,353230,8,30,yes
631,185901,17,40,yes
632,9614,13,28,no
633,379079,4,62,no
634,168819,12,52,no
635,526656,40,9,yes
636,83081,4,117,no
637,308910,23,41,no
638,374925,14,17,no
639,216668,20,21,yes
640,17052,6,94,no
641,273117,4,44,yes
642,529076,26,51,yes
643,391843,29,58,no
644,259437,3,18,no
645,241580,10,12,yes
646,1482,13,24,no
647,283103,4,62,no
648,118570,1,93,no
649,44518,3,47,no
650,194414,17,41,yes
651,368647,1,141,no
652,171721,19,19,yes
653,524658,3,175,no
654,516450,40,16,yes
655,424944,29,5,yes
656,41896,14,30,no
657,296858,18,43,yes
658,314938,7,28,no
659,48813,10,63,no
660,136829,17,40,no
661,190397,15,39,no
662,189997,12,44,yes
663,465690,9,12,no
664,380238,19,42,no
665,382687,8,114,no
666,359524,2,110,no
667,368053,28,10,no
668,313848,25,30,yes
669,56875,18,10,no
670,295158,17,31,yes
671,261710,10,117,no
672,416616,22,46,no
673,360342,24,20,yes
674,102704,14,21,yes
675,316166,28,27,no
676,489205,1,211,no
677,517086,25,38,yes
678,367742,20,55,no
679,105890,12,35,no
680,487338,22,10,yes
681,81299,2,169,no
682,348018,2,26,no
683,513225,19,19,yes
684,509096,5,122,no
685,71356,13,20,no
686,229828,2,56,no
687,451816,28,13,yes
688,527900,37,1,yes
689,428273,19,2,yes
690,491391,29,34,yes
691,467498,22,27,no
692,219881,15,30,no
693,320701,16,46,no
694,190156,2,200,no
695,152415,16,2,no
696,469261,4,63,no
697,188358,14,4,yes
698,422071,30,9,yes
699,405887,1,59,no
700,384645,3,206,no
701,330001,17,11,yes
702,509202,31,27,no
703,130487,19,29,yes
704,375235,26,34,no
705,182959,18,30,no
706,457437,30,23,yes
707,413849,16,1,yes
708,175258,20,30,yes
709,516343,26,49,yes
710,315933,30,60,no
711,419579,21,8,no
712,312745,4,109,no
713,143961,15,7,no
714,244858,17,44,no
715,431460,2,125,no
716,269405,12,5,yes
717,362780,2,155,no
718,57227,2,173,no
719,435482,10,62,no
720,450710,1,131,no
721,179929,3,1,no
722,105469,20,59,no
723,133439,5,76,no
724,144758,6,52,no
725,158768,2,16,yes
726,497713,18,28,yes
727,247397,3,40,no
728,55898,18,20,yes
729,318272,8,105,no
730,125485,17,37,yes
731,96743,12,2,no
732,134025,16,15,yes
733,74363,2,102,no
734,334902,30,42,yes
735,434970,4,112,no
736,392294,9,90,yes
737,464517,22,17,no
738,29608,5,150,no
739,477729,29,33,no
740,224040,14,10,yes
741,547893,24,8,yes
742,299466,8,52,no
743,521724,20,53,yes
744,322110,23,13,no
745,176269,19,6,yes
746,464515,18,11,no
747,474932,24,16,yes
748,229917,3,55,no
749,213919,13,35,yes
750,488479,22,33,yes
751,470112,3,41,no
752,57313,4,169,no
753,63032,3,134,no
754,163624,5,173,no
755,117333,17,52,yes
756,366273,11,53,no
757,3560,14,16,yes
758,153612,5,164,no
759,508365,16,29,yes
760,147653,12,48,no
761,196430,9,117,no
762,52651,18,22,no
763,5197,3,31,no
764,425645,22,45,yes
765,428777,30,40,yes
766,70678,15,25,yes
767,386974,9,105,no
768,183217,5,124,no
769,419454,6,78,no
770,15621,5,97,no
771,18450,9,9,no
772,418559,10,26,no
773,257958,13,30,no
774,422240,4,55,no
775,394588,5,99,no
776,295211,2,148,yes
777,197785,1,225,no
778,32564,4,31,no
779,1018,12,31,no
780,348025,19,57,yes
781,210193,9,37,no
782,367218,18,18,yes
783,454381,9,53,yes
784,259382,11,26,no
785,154526,18,25,no
786,420063,2,113,no
787,145562,5,78,no
788,277401,5,15,no
789,522101,29,48,yes
790,384888,29,5,yes
791,39345,6,90,no
792,756,14,60,no
793,442715,2,6,no
794,110648,19,24,no
795,444480,15,28,yes
796,140461,9,98,no
797,136005,20,8,yes
798,472494,2,20,yes
799,49870,10,73,yes
800,357678,1,5,no
801,374511,22,41,yes
802,485009,27,16,yes
803,458131,8,63,yes
804,90951,10,61,no
805,20683,12,7,no
806,43940,10,1,no
807,392483,25,6,yes
808,246332,15,31,yes
809,287054,14,48,no
810,435062,17,11,no
811,446524,30,9,yes
812,160230,5,155,no
813,343661,5,138,no
814,30206,15,31,no
815,265609,7,13,no
816,88314,16,55,no
817,536175,26,29,no
818,509350,34,4,yes
819,228625,8,106,no
820,124996,12,31,no
821,23115,4,151,no
822,162071,17,54,no
823,82498,5,136,no
824,469685,7,80,no
825,284642,5,146,no
826,444118,16,36,yes
827,485079,21,40,no
828,407111,24,13,no
829,467646,13,13,no
830,267824,14,8,yes
831,311153,20,30,no
832,44666,3,5,no
833,446245,20,35,yes
834,30056,10,12,no
835,216126,5,44,no
836,14165,3,101,no
837,389316,1,98,no
838,359514,16,47,no
839,208066,10,48,no
840,70392,15,17,no
841,207088,20,27,yes
842,158718,17,60,no
843,118682,12,4,no
844,537210,27,42,yes
845,177361,4,173,no
846,520425,19,27,no
847,520321,5,76,no
848,144956,5,175,no
849,512669,21,53,yes
850,439112,29,39,yes
851,12816,2,171,no
852,539924,2,23,no
853,163989,3,75,no
854,149765,20,26,yes
855,81710,13,54,no
856,368736,12,30,yes
857,164524,13,47,no
858,339787,11,36,no
859,289075,14,59,no
860,328177,14,15,yes
861,462696,26,28,no
862,309053,1,78,no
863,19029,2,176,no
864,534312,28,11,yes
865,23064,8,102,no
866,236565,8,52,no
867,543819,36,24,yes
868,508278,12,43,yes
869,386378,6,97,no
870,94816,5,9,no
871,183340,10,93,no
872,107028,18,52,no
873,166934,17,31,no
874,324801,28,19,no
875,335870,13,7,no
876,408594,23,44,no
877,399611,11,31,no
878,113335,4,114,no
879,549062,5,39,yes
880,98173,8,29,no
881,46398,11,15,no
882,148626,3,161,no
883,477140,27,41,no
884,267132,3,195,no
885,530760,30,24,yes
886,305267,8,52,yes
887,189275,7,120,no
888,509292,26,13,yes
889,370274,27,18,yes
890,515225,20,7,yes
891,96270,5,144,no
892,501742,27,6,yes
893,316723,9,72,no
894,198282,11,39,no
895,546478,28,53,yes
896,463840,21,41,yes
897,155729,1,216,no
898,517458,27,19,yes
899,173599,17,8,no
900,76160,6,110,no
901,100964,3,130,no
902,366676,10,32,no
903,471199,12,52,yes
904,136631,5,40,no
905,260285,16,20,no
906,242231,20,16,no
907,51845,6,52,no
908,448214,19,42,yes
909,175375,19,19,yes
910,419021,17,29,no
911,485137,28,20,yes
912,495843,24,51,yes
913,167534,7,69,no
914,424720,20,43,no
915,40646,1,15,no
916,539671,11,37,no
917,456697,28,5,yes
918,323764,8,50,no
919,88119,6,15,no
920,86617,10,108,no
921,380218,4,161,no
922,57396,3,207,no
923,542544,20,4,no
924,257410,7,46,no
925,351130,21,57,yes
926,500466,9,78,yes
927,237096,7,11,no
928,212321,13,59,no
929,33942,4,46,no
930,336110,9,78,no
931,289127,8,51,yes
932,450115,29,41,yes
933,225811,11,48,no
934,37868,1,114,no
935,98127,8,20,no
936,356282,3,15,no
937,24063,14,54,no
938,462549,28,51,yes
939,527118,30,44,no
940,467643,4,42,no
941,312939,4,101,no
942,414150,20,28,no
943,218811,1,34,no
944,393538,16,8,no
945,293419,14,4,no
946,434384,23,16,yes
947,541694,35,19,yes
948,420286,14,17,yes
949,272447,10,20,no
950,258652,12,22,no
951,469136,15,1,yes
952,266853,4,174,no
953,174740,2,88,no
954,190221,5,53,no
955,144189,19,9,no
956,258148,16,38,no
957,547758,29,57,no
958,330151,24,54,yes
959,305145,16,12,no
960,416029,7,22,yes
961,20288,4,152,no
962,352150,18,21,yes
963,115455,19,35,no
964,229848,5,109,no
965,311106,22,21,yes
966,222795,7,83,no
967,123536,10,114,no
968,434112,29,47,yes
969,287968,6,29,no
970,115655,19,57,no
971,427373,4,23,no
972,246294,2,135,no
973,121889,7,48,no
974,117097,16,8,no
975,342619,18,37,yes
976,172465,19,42,yes
977,415116,3,91,no
978,213183,20,56,no
979,145978,11,7,no
980,10465,8,105,no
981,200506,10,5,yes
982,374078,2,88,yes
983,69581,16,19,yes
984,186679,16,13,yes
985,388235,25,41,yes
986,27170,15,41,no
987,346704,9,16,yes
988,90559,17,21,no
989,153470,12,36,no
990,7872,15,59,no
991,328809,17,22,yes
992,221300,18,45,no
993,71187,1,104,no
994,54567,12,26,no
995,503672,33,30,yes
996,394349,2,97,no
997,375323,11,33,yes
998,324224,30,14,yes
999,269435,11,50,no
1000,398741,21,60,yes
1001,315567,21,15,no
1002,229399,5,119,no
1003,490117,5,48,yes
1004,75662,16,41,no
1005,454638,5,51,no
1006,296815,6,90,no
1007,95611,15,4,yes
1008,395435,5,154,no
1009,368963,8,30,no
1010,388506,8,106,no
1011,202808,1,59,no
1012,455903,1,188,no
1013,308107,9,108,yes
1014,399581,26,7,yes
1015,155436,15,42,no
1016,128190,14,7,no
1017,81396,18,30,no
1018,302078,12,18,yes
1019,212180,17,32,yes
1020,294373,20,2,yes
1021,316238,28,39,yes
1022,70510,10,44,no
1023,347114,12,51,yes
1024,8791,11,48,no
1025,377205,30,33,no
1026,195111,7,28,yes
1027,373653,1,55,no
1028,489367,17,51,no
1029,397427,27,60,no
1030,483122,7,59,yes
1031,263131,7,35,yes
1032,489987,5,97,yes
1033,285737,15,27,no
1034,528258,20,55,yes
1035,244534,10,13,no
1036,26787,1,52,no
1037,482097,26,14,yes
1038,214590,14,4,yes
1039,469778,13,37,yes
1040,7587,10,54,yes
1041,376991,10,89,no
1042,477927,28,12,yes
1043,436226,9,82,no
1044,196017,12,38,no
1045,221572,18,51,no
1046,262958,19,14,no
1047,28840,5,157,no
1048,231721,5,143,no
1049,173166,3,202,no
1050,157921,7,29,no
1051,248087,2,125,no
1052,379971,13,2,yes
1053,111008,4,73,no
1054,124987,16,13,yes
1055,281625,13,12,no
1056,41290,4,162,no
1057,33366,7,61,no
1058,410193,21,13,yes
1059,191368,2,189,no
1060,333130,9,115,no
1061,259564,3,39,no
1062,301232,20,24,no
1063,182570,19,32,yes
1064,533079,23,11,yes
1065,12237,9,113,no
1066,245678,10,85,no
1067,28582,4,24,no
1068,343374,29,41,yes
1069,3661,13,5,no
1070,459457,20,27,yes
1071,194143,2,181,no
1072,340130,8,32,yes
1073,474730,4,85,no
1074,224286,10,17,no
1075,141829,7,109,no
1076,298198,14,29,no
1077,80707,18,9,no
1078,383825,3,13,no
1079,331101,9,9,yes
1080,378199,11,21,no
1081,521600,26,37,no
1082,548298,11,42,yes
1083,494149,24,39,yes
1084,117910,8,119,no
1085,145371,15,11,yes
1086,114428,5,127,no
1087,55168,6,15,no
1088,324864,22,29,no
1089,513070,25,27,yes
1090,102892,4,108,no
1091,8511,7,120,no
1092,343111,13,29,yes
1093,45416,13,20,no
1094,100412,3,122,no
1095,37767,6,18,no
1096,267274,6,115,no
1097,376166,24,15,yes
1098,476478,3,179,no
1099,450749,28,41,yes
1100,287333,3,110,no
1101,279735,10,74,no
1102,426761,15,5,no
1103,183798,5,133,no
1104,249539,3,148,no
1105,335272,6,80,no
1106,252755,4,83,no
1107,268232,14,40,yes
1108,287206,16,12,no
1109,124408,8,25,no
1110,315901,7,91,no
1111,159517,15,8,no
1112,399125,27,20,yes
1113,539299,24,1,yes
1114,215575,10,96,yes
1115,549727,14,40,no
1116,36929,8,102,no
1117,147200,1,206,no
1118,510186,30,10,yes
1119,218708,2,214,no
1120,336254,5,143,yes
1121,55495,11,8,no
1122,386252,3,106,no
1123,55582,12,24,no
1124,454754,27,33,yes
1125,195625,15,14,no
1126,305879,21,19,yes
1127,193944,14,22,yes
1128,339068,6,103,no
1129,148477,19,55,no
1130,287507,17,53,no
1131,284809,8,44,yes
1132,397083,9,58,no
1133,304850,28,27,yes
1134,30210,2,41,no
1135,256675,4,107,yes
1136,79411,9,14,no
1137,402329,9,12,no
1138,350792,25,46,no
1139,294520,3,22,no
1140,539047,25,30,yes
1141,115585,17,32,yes
1142,484707,11,40,yes
1143,192408,10,59,no
1144,119873,7,44,yes
1145,306226,4,92,no
1146,12120,8,68,no
1147,156159,11,24,no
1148,133555,20,16,no
1149,467168,28,29,yes
1150,123454,18,55,no
1151,407667,26,33,yes
1152,353168,19,10,yes
1153,420837,19,30,no
1154,384278,24,49,yes
1155,495958,21,51,yes
1156,519713,35,14,yes
1157,467933,14,4,yes
1158,160949,8,88,no
1159,376185,9,28,no
1160,153375,9,119,no
1161,528345,9,44,no
1162,202216,13,42,yes
1163,367247,25,31,yes
1164,429746,16,21,yes
1165,461983,7,66,yes
1166,474488,9,70,no
1167,256822,16,20,yes
1168,258230,13,59,yes
1169,376758,27,30,no
1170,174169,19,19,yes
1171,443317,10,53,yes
1172,513219,8,90,no
1173,147664,4,132,no
1174,411134,23,30,yes
1175,287215,7,92,no
1176,265037,13,3,yes
1177,25794,4,22,no
1178,361754,10,85,no
1179,189354,6,115,no
1180,249992,3,136,no
1181,20386,9,33,no
1182,510394,18,5,yes
1183,278902,5,86,no
1184,278945,5,23,no
1185,428260,4,80,no
1186,248744,11,5,yes
1187,423214,11,26,no
1188,366537,7,101,no
1189,236543,17,7,yes
1190,16419,7,6,no
1191,156928,14,36,no
1192,217762,8,18,no
1193,98977,9,29,no
1194,357598,24,44,no
1195,47796,6,71,no
1196,373082,29,51,yes
1197,404652,13,11,no
1198,178143,8,73,no
1199,537471,20,41,yes
1200,391891,30,21,yes
1201,99926,14,58,no
1202,371033,15,39,no
1203,243526,4,61,no
1204,96675,4,174,no
1205,444745,4,162,no
1206,529771,17,26,yes
1207,326209,15,57,no
1208,193960,2,132,no
1209,192952,18,45,no
1210,249693,1,10,no
1211,49385,3,183,no
1212,499256,21,57,no
