E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,age,gender,race
1,4,3,5,1,2,1,5,1,5,5,2,4,3,2,3,1,1,1,3,1,5,1,5,1,5,1,5,5,3,3,4,3,3,1,4,4,2,4,2,1,3,4,2,3,2,2,1,4,2,21,1,3
2,3,4,3,4,2,3,3,2,5,4,3,4,3,3,2,1,1,3,1,1,4,2,5,3,4,1,3,5,4,2,4,3,4,1,4,3,2,2,4,5,3,3,1,4,3,3,4,4,4,14,0,3
4,3,4,3,3,3,3,3,2,4,2,5,3,3,2,3,3,4,2,2,1,5,1,5,1,5,1,4,5,4,2,5,5,4,1,5,2,3,2,3,1,2,5,2,4,1,2,1,3,5,18,1,6
1,5,5,4,5,4,1,5,1,4,1,4,5,2,5,1,3,1,5,3,1,5,4,5,1,5,1,4,5,5,3,3,5,1,5,5,5,3,5,5,5,1,1,3,5,5,5,5,5,5,14,0,13
3,3,2,4,3,1,3,2,4,5,2,5,2,1,2,3,5,5,4,4,2,2,4,4,1,2,2,4,4,4,2,5,4,4,2,3,3,2,3,3,4,1,5,1,5,1,4,5,5,5,19,1,3
3,3,3,3,3,3,3,4,3,4,3,4,2,3,3,3,3,3,3,3,2,4,1,4,2,4,2,4,4,4,2,5,3,2,1,5,3,3,2,3,2,3,4,3,5,2,5,3,4,4,18,1,12
2,5,1,5,2,4,1,4,1,5,2,2,2,2,2,5,4,4,4,4,3,2,1,5,3,4,2,3,3,3,2,1,4,2,3,2,5,1,4,4,4,2,4,2,4,2,5,5,3,4,20,1,3
3,1,4,3,4,4,2,3,2,3,2,4,4,4,2,2,4,2,2,2,1,4,1,4,2,5,2,3,4,4,4,3,4,3,2,4,5,2,3,3,4,5,3,4,3,3,2,4,3,2,41,1,1
4,3,2,2,4,1,1,5,1,5,2,3,3,2,2,3,3,2,2,3,3,4,4,4,3,3,5,2,3,5,3,4,2,1,1,5,4,2,2,1,4,4,5,1,5,5,4,5,5,5,34,0,3
3,1,5,5,5,1,5,2,3,1,2,4,3,2,1,1,1,1,1,1,1,5,1,5,1,3,1,5,5,5,4,1,5,1,5,1,4,1,5,5,4,3,2,3,5,1,4,2,4,5,60,1,3
4,1,5,2,5,2,4,2,5,1,2,4,3,3,4,2,2,2,2,2,1,5,4,4,1,4,1,5,3,4,2,4,4,4,2,4,3,4,2,3,4,2,5,2,4,1,4,4,4,4,17,0,3
1,5,1,5,1,5,1,5,1,5,5,1,5,1,4,2,1,1,2,4,2,1,1,1,4,2,4,3,1,1,5,2,5,1,4,1,5,1,5,5,4,5,1,5,1,4,4,3,2,1,18,1,3
1,5,1,5,3,4,1,5,1,5,3,3,5,2,3,2,3,2,2,4,1,3,2,4,2,4,1,4,5,4,2,2,4,2,2,2,3,2,4,3,1,3,4,2,3,2,2,1,4,3,27,1,11
3,3,2,3,3,3,2,4,3,4,4,2,5,5,4,4,4,4,5,5,3,3,4,3,3,1,3,4,3,3,4,2,5,3,2,3,5,3,3,3,4,3,4,2,3,3,4,3,4,3,20,1,1
2,4,3,4,4,3,2,3,2,4,5,3,5,4,5,3,5,4,4,5,5,5,3,5,2,5,1,5,4,4,4,4,5,4,2,4,3,3,3,3,3,4,4,3,4,3,4,3,3,3,21,0,5
4,3,4,3,3,1,2,4,2,4,4,4,4,3,1,2,4,3,3,3,3,4,3,4,3,4,3,3,4,2,3,4,5,2,2,2,3,3,2,3,3,1,5,2,5,1,4,3,4,5,15,1,3
3,4,4,2,3,3,1,4,1,4,2,4,2,2,2,2,1,1,1,1,2,4,2,4,4,2,4,4,4,3,4,1,5,1,4,2,4,2,4,4,1,4,3,3,4,1,4,2,2,4,45,0,13
3,3,4,3,2,3,2,5,3,4,2,5,2,4,3,3,2,1,3,1,5,2,2,1,5,1,5,2,1,3,4,2,4,1,4,1,5,3,4,4,5,1,5,1,4,1,5,5,4,4,29,0,8
4,3,2,4,3,3,1,4,3,5,5,2,5,3,3,2,3,3,5,3,1,5,1,5,3,5,3,3,5,5,3,5,5,5,1,5,2,3,3,4,4,1,5,2,4,1,4,3,5,4,15,1,3
2,2,1,5,4,2,2,5,5,5,4,4,5,4,2,4,2,4,4,4,2,5,2,5,1,5,2,5,5,5,2,5,4,5,2,4,5,4,4,4,3,4,5,3,4,1,2,3,5,4,17,1,3
2,3,3,4,5,2,2,4,3,4,3,4,4,4,4,1,2,1,1,1,5,5,1,5,1,4,1,5,5,5,4,4,5,3,1,4,3,3,3,3,3,4,5,3,5,1,4,2,5,5,25,0,3
3,3,4,3,5,3,2,3,3,2,3,3,3,2,3,3,1,1,2,3,1,4,1,4,2,4,2,4,4,4,3,3,5,1,2,4,3,1,3,4,4,3,4,3,4,2,3,4,4,3,55,1,3
1,1,3,3,5,2,1,5,1,4,5,4,5,1,4,4,5,5,5,5,2,3,4,4,4,4,4,3,4,5,4,3,4,4,2,3,5,2,4,4,4,1,4,2,3,2,5,5,5,4,50,1,3
2,4,3,3,1,2,2,2,4,4,3,4,4,2,3,2,4,4,3,4,4,2,2,3,1,4,1,4,5,2,1,1,4,2,5,4,5,3,5,4,5,5,2,4,4,5,1,2,3,3,17,1,8
1,4,4,3,4,2,3,4,3,4,3,2,2,3,3,2,3,3,2,3,2,3,1,5,2,3,3,3,4,4,5,1,4,1,5,2,4,1,4,4,3,2,1,2,3,2,4,2,3,4,44,0,11
1,4,2,4,1,2,1,5,1,5,3,5,4,2,5,5,4,4,5,4,2,2,2,4,1,4,4,3,4,2,2,5,4,3,1,4,3,4,4,3,3,2,4,1,3,1,3,3,5,4,19,0,3
3,1,5,1,5,1,3,3,3,2,5,3,5,2,2,2,5,2,2,4,1,5,4,4,1,5,2,4,3,2,2,5,3,2,1,5,2,2,2,2,3,3,5,1,4,1,2,2,5,5,37,0,6
3,2,4,2,5,2,2,1,4,2,4,2,2,4,3,3,4,3,3,2,2,3,3,4,1,3,2,4,4,4,3,4,5,1,2,4,2,1,2,3,3,1,3,4,4,1,5,3,4,4,54,1,3
3,3,2,4,2,3,2,5,1,5,2,3,3,2,2,2,2,2,2,4,1,4,1,5,1,3,1,5,4,5,4,4,3,2,3,4,4,2,4,4,3,2,4,2,3,2,4,3,4,3,19,1,3
1,2,4,3,5,5,2,4,2,5,3,3,4,3,2,4,4,3,4,2,1,5,1,5,1,5,1,5,5,5,2,3,4,2,3,5,3,1,5,5,4,1,4,2,5,1,4,4,5,4,45,1,1
3,2,5,1,5,1,4,3,4,2,5,1,5,4,3,3,3,2,4,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,4,4,5,47,1,3
4,1,4,3,4,2,3,3,4,4,2,2,5,3,2,4,4,4,3,4,4,4,2,3,1,4,2,3,5,4,5,1,5,2,3,2,4,3,3,4,4,3,5,3,3,2,4,4,3,4,24,1,4
2,4,3,4,3,5,1,4,5,4,4,4,4,3,4,3,4,4,3,2,2,3,2,4,2,4,2,3,4,3,4,4,4,4,3,3,3,2,4,3,3,2,4,1,4,1,4,4,4,4,21,1,13
3,2,4,3,4,3,4,3,3,4,4,4,4,2,1,4,2,1,3,4,3,5,3,4,3,2,1,4,4,2,3,3,4,3,2,3,3,3,1,4,4,2,5,2,4,1,5,3,3,5,17,1,3
3,1,3,3,4,2,3,3,3,2,3,3,3,4,3,3,3,2,2,2,1,5,1,5,1,5,1,5,5,4,4,1,3,2,3,1,4,1,3,4,4,2,4,1,4,2,4,4,5,4,38,1,3
2,3,3,2,4,3,3,4,3,2,2,5,1,4,1,1,2,1,1,1,3,4,4,4,2,2,2,4,4,5,4,2,5,4,4,2,4,1,3,3,5,1,4,1,5,1,5,3,5,5,22,0,13
1,5,2,5,1,4,1,5,1,5,4,4,4,3,3,3,3,2,2,3,3,5,2,5,2,4,1,5,4,4,3,5,4,5,2,4,1,4,3,3,4,1,5,2,3,1,4,3,4,5,15,1,3
2,1,5,3,5,5,5,1,5,3,3,1,5,3,3,3,5,1,5,5,5,5,1,5,1,5,1,1,5,5,3,1,5,1,5,5,5,1,5,5,5,1,5,1,3,3,5,1,5,5,18,1,13
1,3,2,3,4,1,1,2,5,5,3,4,4,1,4,3,5,4,5,4,4,2,5,3,2,1,4,3,3,2,2,4,3,5,1,4,2,4,1,3,3,2,3,1,3,2,4,3,3,4,16,1,13
4,5,4,4,4,4,2,1,5,5,5,5,5,2,4,4,3,1,3,5,4,4,2,4,2,4,1,4,5,4,3,4,3,1,4,1,5,1,5,5,1,2,5,1,5,1,5,1,4,5,30,0,4
2,5,3,3,3,3,2,5,5,4,5,2,4,4,4,5,5,4,4,4,2,4,1,4,3,4,3,3,4,3,3,3,2,3,2,3,1,3,2,2,1,4,2,3,3,3,2,3,3,2,21,1,4
1,3,2,4,2,4,1,1,1,5,2,3,4,1,4,2,2,2,4,5,4,2,2,2,5,4,5,3,2,5,3,1,5,2,3,1,5,2,2,5,5,1,4,1,4,2,5,4,5,5,27,1,3
1,5,3,5,5,5,1,5,1,5,4,5,4,5,3,5,4,4,4,5,5,3,3,5,2,5,5,5,5,5,3,5,3,5,2,5,5,3,5,5,4,1,5,5,5,1,5,4,5,5,20,0,11
1,2,3,4,2,3,1,4,2,5,4,5,4,4,1,3,4,3,3,4,1,4,1,4,2,5,1,5,4,4,4,4,2,2,1,3,3,3,2,3,2,2,5,2,2,1,3,2,4,3,16,1,10
2,3,4,4,5,1,3,3,5,4,3,3,4,2,2,1,2,3,2,2,2,5,3,5,2,5,2,2,4,4,4,5,4,4,1,4,3,3,3,2,3,2,5,2,4,1,4,2,4,4,20,1,9
4,2,4,2,3,4,3,4,4,3,3,4,4,1,4,1,4,3,2,4,1,4,4,4,2,2,2,4,4,4,4,1,4,1,2,3,3,4,1,3,2,5,5,5,4,1,3,1,4,4,18,1,11
1,2,4,5,1,4,1,3,4,5,4,2,4,2,5,5,5,4,5,4,2,2,4,5,2,4,3,3,4,2,3,1,4,2,4,1,5,3,5,2,3,3,5,3,3,2,4,3,5,3,25,1,11
3,3,3,5,3,3,1,2,5,5,5,2,5,2,1,4,3,5,5,4,4,3,4,3,2,4,4,5,4,2,5,5,4,1,1,5,1,2,1,5,5,1,5,1,5,1,5,5,5,5,20,0,8
2,4,5,1,5,1,5,1,4,2,3,3,4,1,2,3,2,1,2,1,1,5,1,4,1,4,1,5,4,4,4,4,4,1,4,2,4,2,4,4,3,3,3,4,4,2,5,3,3,3,17,1,3
4,2,4,3,4,2,4,3,3,2,4,3,4,3,2,3,3,3,3,3,2,4,1,4,2,4,2,4,4,4,4,2,4,2,4,2,4,2,4,4,4,2,4,3,4,2,4,4,4,4,24,1,3
3,1,1,4,5,1,1,5,2,2,5,2,5,1,4,4,2,2,2,4,1,4,2,5,3,5,3,3,5,4,2,4,5,3,1,4,4,3,2,4,3,5,4,2,4,2,5,3,4,4,30,0,3
5,1,5,1,5,1,5,2,5,2,2,4,3,1,5,3,1,1,4,1,5,5,3,5,1,5,1,5,5,5,3,3,3,3,3,5,3,3,3,4,2,1,3,4,3,3,5,2,3,3,16,1,13
3,3,5,3,3,1,3,4,3,4,2,5,2,5,2,2,1,1,2,1,1,5,2,5,2,5,1,5,5,5,4,1,5,1,4,1,5,1,4,5,5,1,5,1,5,1,5,5,5,5,44,0,3
1,2,1,3,2,5,1,3,4,5,5,4,4,5,5,5,5,5,4,5,3,4,2,2,4,4,5,3,2,2,2,4,2,5,2,4,2,2,2,2,5,2,2,4,3,3,4,2,2,2,25,1,4
1,3,1,5,1,1,1,5,1,5,5,1,5,4,5,5,5,5,5,5,1,5,1,4,1,3,2,4,4,2,3,1,4,5,3,4,5,2,3,3,4,3,5,3,4,1,3,4,5,5,19,1,3
1,2,2,5,5,1,4,5,4,5,5,4,5,4,5,5,5,5,5,4,5,4,1,5,2,4,1,5,5,5,5,4,4,4,4,1,5,2,5,5,4,4,5,4,4,1,5,4,5,5,19,1,13
2,3,2,2,2,1,2,4,2,4,4,2,5,1,1,2,3,2,1,4,3,3,1,3,2,4,2,4,5,4,3,4,4,3,2,3,3,3,2,4,5,1,4,1,5,1,5,5,5,5,19,1,3
2,3,4,3,4,3,4,3,5,4,4,3,4,2,4,3,2,2,4,2,2,5,3,3,2,4,2,4,4,4,3,4,5,2,4,3,5,2,3,5,5,3,5,2,5,1,5,5,4,5,25,1,3
3,3,2,4,2,3,1,4,2,5,1,5,1,2,5,5,5,4,5,3,4,2,4,3,5,5,4,2,4,3,4,4,3,5,1,5,3,5,1,2,5,1,4,1,4,3,5,5,5,4,24,0,11
2,4,4,4,2,4,4,3,3,5,4,3,5,1,4,5,3,3,4,5,2,5,2,4,2,5,1,4,3,1,2,5,4,5,1,4,4,4,1,4,3,3,5,1,3,2,3,3,5,5,18,0,3
3,4,3,5,3,4,3,5,3,5,5,3,5,1,3,3,3,2,2,3,1,5,2,5,2,4,2,4,4,4,4,4,3,2,1,4,3,2,4,3,5,2,5,1,4,2,2,4,5,3,28,0,3
4,4,1,3,3,4,1,4,3,5,5,3,5,1,1,2,5,5,5,5,2,1,1,4,2,5,3,4,4,3,2,3,5,2,4,2,5,2,1,5,4,1,5,1,2,1,3,5,1,5,16,1,5
5,1,4,4,4,1,4,4,4,2,1,4,3,4,2,4,5,4,1,4,1,3,2,5,2,4,2,5,4,4,4,5,4,5,1,5,2,4,1,4,3,1,5,1,5,1,3,3,5,5,16,0,4
2,5,3,3,3,4,3,2,2,5,4,3,4,2,4,2,2,2,2,3,3,5,1,5,2,5,1,4,5,5,4,1,3,2,3,3,3,3,5,4,2,3,3,4,3,2,3,1,3,3,27,0,4
2,3,3,4,2,4,2,5,2,5,4,3,4,3,3,4,4,3,3,3,1,4,1,5,2,4,2,4,4,3,3,3,4,3,2,4,3,2,4,2,5,2,5,3,3,2,4,4,5,3,20,1,3
4,4,5,2,5,3,5,3,4,3,4,3,4,3,3,2,3,3,3,2,5,4,3,4,1,5,4,5,3,4,5,3,5,1,4,2,5,3,1,3,3,1,3,3,4,3,5,3,5,4,23,1,3
3,2,3,3,3,4,2,3,3,4,4,4,4,3,2,4,4,4,4,3,2,4,3,4,2,3,2,4,4,5,4,1,4,2,4,2,4,2,2,4,3,1,4,2,3,2,4,3,2,4,41,0,3
2,4,3,3,4,4,3,2,3,4,5,2,4,3,4,5,5,5,5,4,3,2,3,3,2,4,3,4,4,4,4,3,5,2,2,3,4,3,2,3,3,3,4,2,5,2,5,2,4,4,21,0,4
2,3,3,3,4,2,3,2,3,3,4,3,2,3,4,3,2,3,2,3,2,2,2,4,2,5,2,3,4,5,5,2,4,3,5,2,4,2,4,4,4,4,1,3,4,1,4,2,5,5,34,1,11
3,2,2,3,2,3,3,3,3,4,4,2,3,3,5,3,5,5,5,3,4,4,2,4,2,5,3,4,4,5,3,3,3,4,3,5,1,3,2,3,2,3,4,3,4,2,3,3,3,4,29,0,4
4,1,1,4,5,1,1,2,2,1,4,1,5,1,4,3,4,4,4,5,3,4,4,3,2,2,3,4,3,2,1,4,4,4,1,1,4,5,2,3,5,4,2,1,4,4,4,5,4,5,33,0,3
4,2,4,1,4,2,4,2,4,2,4,2,4,3,2,2,2,2,3,2,1,4,2,5,2,2,2,3,4,4,4,3,4,1,4,2,4,1,3,4,4,2,4,2,5,2,4,3,4,5,27,0,4
1,4,3,4,4,4,2,4,2,5,4,4,4,3,3,3,3,2,2,2,3,4,1,4,4,5,3,4,4,4,3,4,4,4,3,4,4,3,4,3,2,2,4,3,4,2,5,2,3,4,26,1,11
4,3,4,3,4,3,3,4,4,3,4,4,4,3,2,3,3,3,5,3,3,3,1,3,2,5,4,4,4,4,4,3,4,2,3,2,2,2,4,4,3,2,3,2,5,1,4,2,3,5,21,1,4
1,4,1,5,1,1,1,5,1,5,5,1,5,1,5,5,5,3,5,5,1,2,1,5,1,3,3,5,5,1,5,5,5,1,5,1,5,1,5,5,5,3,5,2,3,1,5,5,5,5,15,1,3
4,4,4,4,4,2,3,3,4,4,3,4,3,2,4,2,2,2,3,4,2,5,1,4,1,4,2,4,4,4,3,5,2,4,2,5,2,3,4,2,5,2,5,1,4,5,4,5,4,5,38,0,3
4,2,4,4,2,3,2,2,5,5,4,4,4,3,3,2,3,3,2,3,1,5,3,4,2,4,2,4,4,5,2,3,3,4,2,2,4,2,3,2,4,1,5,1,5,1,4,5,5,5,22,0,11
4,2,4,2,4,4,4,2,4,2,5,2,5,2,2,2,3,3,1,5,1,5,1,5,1,5,1,5,5,4,2,5,2,5,1,5,4,2,3,2,5,3,5,3,3,1,4,4,2,4,19,1,3
3,2,3,3,4,2,3,3,4,3,3,3,4,3,4,4,4,4,3,4,3,2,3,3,2,4,2,4,4,3,3,3,4,4,2,2,4,4,4,3,2,2,5,2,4,1,3,3,4,4,20,0,3
1,1,2,5,2,4,1,5,1,5,2,3,4,1,5,5,4,3,5,2,1,5,4,5,1,5,2,3,5,1,4,5,5,4,3,5,5,4,3,4,5,1,5,1,4,1,5,5,5,5,25,0,3
3,2,4,2,4,2,3,4,2,2,4,2,5,2,4,4,4,4,3,4,1,5,1,5,1,5,1,5,5,5,3,2,5,2,3,1,5,3,2,3,5,1,5,2,5,1,5,5,5,5,38,1,3
3,1,2,5,1,3,1,2,5,4,2,1,5,2,5,5,5,5,5,3,3,2,1,5,2,4,3,2,2,2,2,1,2,2,1,3,5,3,4,2,2,2,2,2,3,3,4,2,3,2,38,0,4
5,5,5,5,5,1,5,5,5,5,1,5,1,5,5,5,5,5,5,5,1,4,5,1,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,18,1,8
3,2,4,2,3,4,2,4,2,5,4,2,5,1,4,5,4,4,4,5,2,4,3,4,3,4,2,4,4,3,4,1,3,3,4,2,5,4,4,4,4,2,4,2,3,4,4,4,4,4,24,1,3
2,3,4,2,4,2,3,2,4,4,2,3,5,3,2,3,1,2,3,3,1,5,4,5,1,5,2,4,4,4,5,2,5,2,2,2,4,2,4,5,5,2,4,3,4,2,5,2,5,3,24,1,9
3,2,3,3,3,3,3,5,2,5,3,5,5,5,2,3,2,2,5,1,1,3,5,2,1,1,5,2,3,3,3,4,5,3,1,5,3,3,4,2,4,3,5,5,3,1,2,3,3,4,15,0,1
1,3,3,4,2,4,1,5,1,5,5,2,5,3,2,2,3,2,4,3,1,4,2,4,1,3,1,4,3,2,4,2,4,3,1,1,4,2,2,1,3,1,3,1,2,1,2,3,2,2,17,0,3
2,3,3,3,4,5,3,5,1,5,3,4,5,2,5,1,3,1,4,4,4,4,4,2,3,3,4,3,2,3,1,1,3,4,1,3,2,4,1,4,2,4,1,2,3,5,3,2,2,1,17,0,1
2,4,3,3,3,2,5,5,2,5,4,4,4,2,4,3,1,1,3,2,1,5,2,5,1,5,1,5,5,4,3,5,4,3,3,4,5,1,4,5,4,1,5,1,3,1,5,3,5,4,28,1,3
3,2,3,2,4,2,3,2,1,5,2,4,5,3,5,1,2,5,3,3,5,5,1,4,3,5,2,4,4,3,4,1,5,2,3,2,5,3,5,5,2,4,5,2,4,1,4,1,5,4,21,0,11
1,4,1,5,2,5,2,4,4,4,1,1,4,1,4,5,5,5,4,5,2,2,2,4,2,4,4,5,5,5,1,5,4,1,1,1,4,2,1,5,5,5,1,5,5,1,5,2,4,5,27,0,4
3,2,4,2,2,2,2,2,4,3,2,3,3,2,2,2,1,1,2,1,2,4,1,4,2,3,4,2,4,4,2,4,5,2,2,2,5,3,3,3,5,1,5,1,4,1,4,4,5,4,39,0,3
2,2,3,3,3,3,3,4,2,4,3,4,3,4,4,2,3,3,4,2,4,2,3,4,4,3,4,4,3,3,1,4,4,4,2,5,3,4,3,4,4,4,2,4,3,4,4,4,3,2,20,1,3
1,5,2,4,2,5,1,3,5,5,4,3,4,2,4,2,2,4,2,4,5,3,1,5,3,5,4,4,5,3,3,1,2,2,3,3,5,3,4,3,4,4,4,3,3,2,4,2,3,3,16,1,11
3,1,5,2,4,1,5,2,5,3,1,4,3,2,1,1,2,3,1,1,3,4,1,3,1,4,1,3,5,3,5,3,4,3,3,3,5,3,4,4,5,1,4,1,5,1,4,5,3,4,23,1,3
3,4,2,5,3,1,3,5,2,5,5,2,5,2,4,4,5,4,4,2,4,5,1,4,3,4,3,3,3,4,1,4,5,2,2,5,2,3,2,4,4,1,5,1,5,1,4,3,4,5,21,1,3
1,4,2,2,1,3,2,4,5,4,2,4,4,2,3,2,2,2,3,3,5,3,1,4,1,2,2,4,4,3,3,3,4,3,3,3,2,3,1,3,3,3,3,3,3,2,4,3,4,3,21,0,4
4,5,5,1,5,1,5,2,5,1,3,3,3,5,3,3,4,3,3,1,1,4,1,4,2,2,1,4,4,5,4,1,1,3,5,1,5,1,4,3,3,3,3,3,4,4,3,3,2,5,49,1,1
3,4,2,5,1,5,2,5,1,5,5,1,5,5,5,1,5,5,5,4,5,5,1,5,1,5,3,5,4,3,1,2,3,4,3,4,3,3,3,3,3,3,3,3,2,1,2,2,5,1,24,1,3
3,2,5,3,5,2,4,2,4,3,1,4,4,3,3,1,2,1,1,2,1,5,1,4,2,5,1,5,2,5,4,4,4,1,4,2,4,1,4,5,4,2,3,3,4,1,4,3,5,4,20,1,3
2,3,4,3,4,2,3,3,5,4,1,5,2,1,1,2,3,2,4,5,2,5,4,3,2,3,2,5,3,4,1,4,3,3,1,3,3,1,1,4,5,1,4,2,4,1,4,5,3,5,19,0,3
2,5,4,4,3,5,3,5,3,2,5,4,5,4,5,5,5,2,4,3,5,5,2,5,1,5,2,5,5,2,4,4,5,4,2,4,2,3,1,5,1,4,5,2,4,1,5,2,3,4,20,1,4
2,1,5,2,5,1,5,4,1,4,2,3,5,3,4,4,2,1,2,2,1,5,4,5,1,5,1,5,5,5,2,1,5,4,2,3,4,1,5,5,5,2,5,1,5,2,4,5,5,5,56,0,3
1,5,2,4,2,5,1,4,2,4,2,4,4,3,4,4,4,4,4,3,2,2,2,4,4,5,4,2,4,4,2,1,2,2,2,4,4,4,4,4,4,5,4,4,4,2,4,2,4,4,41,0,4
3,4,3,3,4,2,5,3,3,3,5,1,5,3,2,2,3,1,3,2,1,4,1,5,1,5,1,4,5,4,4,4,5,1,2,2,3,1,5,2,2,1,5,1,3,1,4,3,5,3,19,1,3
4,2,4,1,4,2,4,2,5,2,4,1,5,2,2,3,5,4,4,4,2,5,3,4,2,3,4,5,4,2,5,4,5,2,3,2,5,2,5,4,3,2,4,2,4,2,4,3,2,4,28,1,3
3,2,5,2,5,1,5,5,5,2,1,4,3,1,1,2,2,1,2,1,2,5,1,4,2,4,1,3,5,4,4,3,4,2,3,1,3,3,5,4,5,1,5,2,4,1,5,3,4,5,29,0,3
4,2,5,2,5,2,5,2,5,2,1,5,4,5,1,1,1,1,1,1,1,4,1,5,2,5,1,5,4,5,4,1,5,4,2,5,4,4,2,5,5,1,5,1,4,1,5,5,5,5,34,0,3
2,2,5,4,1,2,2,4,3,2,2,4,2,1,1,1,2,3,4,2,5,3,5,1,1,1,4,2,4,2,2,2,2,4,1,2,2,2,5,2,2,5,4,5,4,2,3,1,4,3,20,0,3
2,1,5,2,5,1,3,3,5,2,3,4,5,2,1,2,1,1,2,1,1,5,1,5,1,5,1,5,5,5,4,5,5,2,5,5,5,1,5,5,4,1,5,2,3,1,4,3,5,4,20,1,3
4,2,4,3,5,1,4,5,5,4,3,4,4,3,1,2,4,1,2,1,1,5,2,4,2,5,2,5,4,4,3,2,5,1,2,5,2,3,3,4,2,3,5,2,5,1,5,4,5,5,21,1,3
3,2,5,3,5,1,5,3,4,2,5,2,4,3,3,1,5,4,1,3,1,5,1,5,1,5,1,5,5,5,4,3,3,2,3,2,5,1,4,5,3,3,5,3,4,1,2,3,5,4,30,1,3
3,4,3,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,4,3,2,3,3,3,2,2,3,3,3,2,4,2,4,2,4,2,4,4,3,2,4,2,3,2,4,2,3,3,26,0,13
3,2,3,2,3,1,3,1,4,2,5,2,4,3,4,4,3,2,4,2,2,3,4,3,2,3,3,4,3,2,3,3,4,1,3,2,3,3,4,5,5,1,4,1,5,1,5,5,5,5,43,0,3
1,1,4,2,5,1,5,3,2,5,2,2,3,5,1,1,1,1,1,2,1,1,1,5,1,4,1,5,5,5,2,3,5,1,3,3,2,3,2,5,1,1,5,1,5,1,5,5,5,5,53,0,3
5,1,5,1,5,1,5,1,5,1,2,4,3,2,2,3,3,3,3,2,1,5,2,5,2,2,1,5,5,5,3,5,4,2,1,5,1,3,1,5,5,3,5,2,5,1,5,5,5,5,38,1,3
2,4,2,3,5,5,2,2,4,1,1,1,5,3,2,4,1,1,4,4,3,3,1,5,2,5,4,2,5,3,2,1,1,3,3,2,5,1,3,5,2,1,5,2,4,1,2,1,3,4,21,0,4
5,1,5,1,5,2,4,1,5,2,1,4,2,4,2,1,1,1,2,1,2,5,2,2,2,2,2,4,2,4,4,4,4,2,1,2,2,2,4,2,4,2,4,2,5,1,5,2,2,4,33,0,3
4,5,2,5,2,2,2,4,5,5,5,2,5,2,4,4,5,5,5,4,5,5,1,5,2,5,4,4,5,4,3,5,4,4,5,1,4,1,5,5,4,4,5,1,4,4,1,1,5,3,22,1,4
5,1,5,1,5,1,5,2,5,2,3,4,2,3,2,3,2,1,1,2,1,4,1,5,1,5,1,4,5,5,3,2,4,1,2,2,3,3,3,4,5,1,5,1,5,1,5,4,5,5,31,1,13
4,2,2,2,3,4,3,4,1,1,5,1,5,3,5,4,4,3,5,5,1,4,1,5,1,5,2,4,5,3,4,5,3,1,4,4,3,2,3,3,2,3,3,2,3,1,3,2,5,4,19,1,3
2,2,4,3,2,4,3,4,2,3,4,3,3,3,3,2,3,2,2,2,1,4,1,4,1,4,1,5,4,5,5,2,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,5,5,17,0,3
4,2,4,2,4,1,4,3,4,4,3,3,5,2,4,3,5,5,3,3,5,4,5,4,1,2,2,4,4,4,5,3,5,5,3,4,2,2,3,3,5,2,5,3,5,1,5,5,4,5,30,1,3
5,1,5,1,5,1,5,2,5,1,4,4,5,4,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,2,5,1,4,1,5,1,4,4,5,1,4,1,5,1,5,4,5,5,27,0,8
4,2,4,2,4,2,4,2,4,2,4,4,1,2,4,4,2,2,3,2,4,2,4,2,4,2,4,4,2,3,5,2,3,3,2,4,3,3,5,4,3,2,4,2,4,5,5,2,4,5,20,0,3
4,2,3,2,4,2,3,4,4,4,2,5,3,4,4,2,4,2,2,4,2,5,2,2,2,4,2,4,3,2,2,4,4,4,4,4,3,2,2,4,2,2,4,2,3,2,3,2,3,3,19,0,11
3,2,4,3,4,2,3,3,5,2,2,4,3,4,1,1,1,1,2,1,2,5,3,4,1,1,1,3,3,3,5,1,5,1,3,1,4,3,5,5,5,1,5,1,4,1,4,5,5,5,22,0,13
1,5,3,3,2,5,1,5,5,3,5,2,3,4,5,5,5,5,5,4,1,3,2,4,3,3,3,3,4,1,3,3,3,4,1,5,3,2,4,3,2,2,3,2,1,3,3,1,3,3,24,1,11
1,4,2,4,2,2,1,4,2,5,4,3,5,2,4,4,4,3,4,4,2,5,1,2,3,3,4,4,2,3,5,3,5,3,3,3,4,2,5,5,4,3,3,2,4,4,5,5,5,4,16,1,3
4,3,3,1,2,1,1,2,5,5,2,5,1,5,1,1,2,1,1,1,1,2,1,4,2,2,1,3,4,3,3,1,5,2,3,2,3,2,2,5,4,3,3,3,5,2,4,1,5,5,29,1,13
