"cust_id","recency","history_segment","history","mens","womens","zip_code","newbie","channel","segment","treatment","visit","conversion","spend"
104,12,"1) $0 - $100",29.99,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0
106,1,"2) $100 - $200",142.4,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
107,1,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","Mens E-Mail",1,0,0,0
108,12,"3) $200 - $350",284.54,1,1,"Surburban",0,"Web","Mens E-Mail",1,0,0,0
110,4,"7) $1,000 +",1089.77,1,0,"Urban",1,"Multichannel","Mens E-Mail",1,0,0,0
111,1,"6) $750 - $1,000",790.36,1,1,"Urban",1,"Multichannel","Mens E-Mail",1,0,0,0
113,12,"3) $200 - $350",271.89,1,0,"Rural",0,"Web","Mens E-Mail",1,0,0,0
114,3,"1) $0 - $100",39.83,0,1,"Urban",1,"Phone","Mens E-Mail",1,1,0,0
115,5,"3) $200 - $350",269.99,1,1,"Surburban",0,"Phone","Mens E-Mail",1,0,0,0
116,4,"3) $200 - $350",292.61,1,0,"Surburban",0,"Multichannel","No E-Mail",0,0,0,0
117,6,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
118,9,"2) $100 - $200",116.3,1,0,"Rural",1,"Web","Mens E-Mail",1,1,0,0
119,5,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
122,1,"5) $500 - $750",720.17,1,1,"Urban",1,"Phone","Mens E-Mail",1,0,0,0
123,4,"1) $0 - $100",69.08,0,1,"Urban",0,"Phone","Mens E-Mail",1,0,0,0
124,1,"3) $200 - $350",301.19,1,0,"Surburban",1,"Web","No E-Mail",0,0,0,0
125,10,"3) $200 - $350",307.64,0,1,"Urban",0,"Multichannel","Mens E-Mail",1,0,0,0
126,7,"4) $350 - $500",481.56,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,0
127,10,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0
128,5,"4) $350 - $500",425.1,1,0,"Rural",1,"Phone","Mens E-Mail",1,0,0,0
129,10,"1) $0 - $100",36.28,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0
130,7,"1) $0 - $100",32.42,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
132,1,"5) $500 - $750",506.51,1,0,"Urban",1,"Multichannel","No E-Mail",0,0,0,0
133,8,"5) $500 - $750",575.62,1,1,"Urban",1,"Multichannel","Mens E-Mail",1,0,0,0
137,8,"2) $100 - $200",171.88,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
141,8,"3) $200 - $350",336.76,0,1,"Surburban",0,"Phone","Mens E-Mail",1,0,0,0
143,4,"1) $0 - $100",52.12,1,0,"Urban",0,"Phone","Mens E-Mail",1,0,0,0
144,7,"4) $350 - $500",406.7,0,1,"Surburban",1,"Phone","Mens E-Mail",1,0,0,0
146,1,"2) $100 - $200",181.98,0,1,"Urban",1,"Web","Mens E-Mail",1,0,0,0
147,5,"1) $0 - $100",29.99,0,1,"Rural",1,"Web","No E-Mail",0,0,0,0
149,6,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","Mens E-Mail",1,0,0,0
150,8,"2) $100 - $200",130.31,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
151,3,"1) $0 - $100",65.26,1,0,"Urban",0,"Web","Mens E-Mail",1,1,0,0
153,8,"2) $100 - $200",104.94,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
154,7,"1) $0 - $100",69.44,1,0,"Rural",0,"Web","Mens E-Mail",1,1,0,0
156,5,"4) $350 - $500",354.03,1,0,"Urban",0,"Web","Mens E-Mail",1,0,0,0
157,10,"2) $100 - $200",151.43,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0
158,11,"2) $100 - $200",120.14,1,0,"Urban",0,"Web","Mens E-Mail",1,0,0,0
159,5,"3) $200 - $350",290.86,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0
160,11,"1) $0 - $100",81.06,1,0,"Urban",0,"Web","Mens E-Mail",1,0,0,0
161,10,"1) $0 - $100",55.11,1,0,"Urban",1,"Web","Mens E-Mail",1,0,0,0
162,1,"5) $500 - $750",513.83,0,1,"Surburban",1,"Multichannel","Mens E-Mail",1,0,0,0
163,4,"6) $750 - $1,000",770.38,0,1,"Rural",1,"Multichannel","No E-Mail",0,0,0,0
164,1,"1) $0 - $100",33.5,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,0
165,2,"1) $0 - $100",56.25,1,0,"Surburban",1,"Phone","Mens E-Mail",1,0,0,0
166,2,"7) $1,000 +",1093.92,1,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
167,1,"6) $750 - $1,000",752.8,1,1,"Urban",1,"Phone","No E-Mail",0,0,0,0
168,2,"2) $100 - $200",199.95,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
169,9,"3) $200 - $350",239.91,0,1,"Rural",0,"Phone","No E-Mail",0,0,0,0
170,8,"1) $0 - $100",43.16,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0
172,3,"1) $0 - $100",67.4,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,0
174,7,"3) $200 - $350",329.26,0,1,"Urban",0,"Web","Mens E-Mail",1,0,0,0
175,1,"1) $0 - $100",29.99,1,0,"Rural",1,"Phone","Mens E-Mail",1,0,0,0
176,5,"1) $0 - $100",39.52,1,0,"Surburban",1,"Phone","Mens E-Mail",1,0,0,0
179,10,"4) $350 - $500",375.9,0,1,"Urban",0,"Web","Mens E-Mail",1,0,0,0
181,9,"3) $200 - $350",220.51,1,0,"Urban",0,"Multichannel","Mens E-Mail",1,0,0,0
182,6,"1) $0 - $100",78.69,0,1,"Surburban",0,"Phone","Mens E-Mail",1,0,0,0
184,1,"2) $100 - $200",179.63,1,0,"Surburban",0,"Phone","Mens E-Mail",1,1,0,0
186,4,"3) $200 - $350",320.17,0,1,"Urban",1,"Phone","Mens E-Mail",1,0,0,0
187,1,"2) $100 - $200",103.07,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,0
188,10,"1) $0 - $100",35.84,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0
189,2,"1) $0 - $100",90.91,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,0
192,10,"2) $100 - $200",139.83,1,0,"Urban",1,"Phone","Mens E-Mail",1,0,0,0
193,10,"3) $200 - $350",245.09,1,0,"Urban",0,"Multichannel","No E-Mail",0,0,0,0
194,6,"2) $100 - $200",127.2,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
195,1,"4) $350 - $500",470.65,1,0,"Urban",0,"Phone","Mens E-Mail",1,0,0,0
196,1,"1) $0 - $100",59.13,1,0,"Urban",1,"Web","Mens E-Mail",1,0,0,0
197,3,"3) $200 - $350",327.1,1,0,"Surburban",1,"Web","No E-Mail",0,0,0,0
198,1,"4) $350 - $500",399.72,1,1,"Surburban",0,"Phone","Mens E-Mail",1,1,0,0
199,3,"1) $0 - $100",29.99,1,0,"Urban",0,"Phone","No E-Mail",0,0,0,0
201,4,"2) $100 - $200",134.24,0,1,"Urban",0,"Web","Mens E-Mail",1,1,0,0
202,10,"3) $200 - $350",290.55,0,1,"Surburban",0,"Web","Mens E-Mail",1,0,0,0
203,7,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
204,4,"1) $0 - $100",87.69,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,0
205,12,"4) $350 - $500",465.37,0,1,"Rural",1,"Multichannel","No E-Mail",0,0,0,0
207,4,"1) $0 - $100",49.8,1,0,"Urban",1,"Web","Mens E-Mail",1,0,0,0
208,3,"3) $200 - $350",229.42,0,1,"Rural",0,"Multichannel","No E-Mail",0,0,0,0
209,1,"3) $200 - $350",253.18,0,1,"Surburban",0,"Multichannel","Mens E-Mail",1,0,0,0
210,2,"2) $100 - $200",156.4,0,1,"Surburban",0,"Web","Mens E-Mail",1,0,0,0
212,11,"2) $100 - $200",140.07,0,1,"Urban",1,"Web","Mens E-Mail",1,0,0,0
213,10,"2) $100 - $200",168.04,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0
216,3,"2) $100 - $200",188.19,1,0,"Urban",0,"Phone","Mens E-Mail",1,1,0,0
217,10,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",0,1,1,149.28
218,1,"1) $0 - $100",35.23,1,0,"Urban",1,"Phone","Mens E-Mail",1,0,0,0
220,6,"3) $200 - $350",232.94,1,0,"Surburban",1,"Multichannel","Mens E-Mail",1,0,0,0
221,10,"3) $200 - $350",205.88,1,0,"Urban",0,"Phone","No E-Mail",0,0,0,0
222,1,"7) $1,000 +",1281.48,1,0,"Urban",1,"Phone","Mens E-Mail",1,0,0,0
223,3,"1) $0 - $100",29.99,1,0,"Urban",0,"Web","No E-Mail",0,1,0,0
224,3,"5) $500 - $750",542.16,1,0,"Urban",1,"Phone","Mens E-Mail",1,1,0,0
225,6,"5) $500 - $750",507.25,0,1,"Urban",1,"Phone","Mens E-Mail",1,0,0,0
227,7,"1) $0 - $100",60.02,1,0,"Surburban",1,"Phone","Mens E-Mail",1,0,0,0
228,1,"1) $0 - $100",68.5,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
229,11,"1) $0 - $100",37.45,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
231,6,"1) $0 - $100",98.8,0,1,"Rural",1,"Phone","Mens E-Mail",1,1,0,0
232,5,"5) $500 - $750",556.5,0,1,"Rural",1,"Web","Mens E-Mail",1,0,0,0
233,6,"2) $100 - $200",136.26,0,1,"Rural",1,"Web","No E-Mail",0,0,0,0
235,2,"3) $200 - $350",203.52,1,1,"Urban",1,"Multichannel","No E-Mail",0,1,0,0
239,3,"1) $0 - $100",99.25,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
240,5,"1) $0 - $100",62.49,1,0,"Rural",0,"Web","No E-Mail",0,0,0,0
241,4,"1) $0 - $100",72.66,0,1,"Surburban",1,"Phone","Mens E-Mail",1,0,0,0
244,10,"1) $0 - $100",62.63,0,1,"Surburban",1,"Phone","Mens E-Mail",1,0,0,0
245,5,"3) $200 - $350",283.55,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0
246,9,"1) $0 - $100",54.34,1,0,"Surburban",0,"Phone","Mens E-Mail",1,1,0,0
247,5,"3) $200 - $350",247.82,1,0,"Urban",0,"Phone","Mens E-Mail",1,0,0,0
248,11,"2) $100 - $200",178.56,1,0,"Urban",0,"Phone","Mens E-Mail",1,0,0,0
249,2,"1) $0 - $100",86.38,1,0,"Urban",1,"Web","Mens E-Mail",1,0,0,0
253,4,"4) $350 - $500",410.86,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0
255,9,"5) $500 - $750",535.17,0,1,"Surburban",1,"Web","Mens E-Mail",1,0,0,0
256,3,"5) $500 - $750",584.63,1,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
257,1,"1) $0 - $100",29.99,1,0,"Urban",1,"Phone","Mens E-Mail",1,0,0,0
258,5,"2) $100 - $200",119.47,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
259,7,"1) $0 - $100",68.86,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
260,3,"1) $0 - $100",68.81,0,1,"Urban",0,"Phone","Mens E-Mail",1,0,0,0
261,9,"2) $100 - $200",165.62,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0
262,1,"5) $500 - $750",686.08,1,1,"Urban",1,"Web","No E-Mail",0,0,0,0
263,7,"2) $100 - $200",145.89,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
265,7,"5) $500 - $750",578.35,0,1,"Surburban",1,"Web","Mens E-Mail",1,1,0,0
266,7,"1) $0 - $100",93.33,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0
267,5,"1) $0 - $100",42.3,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
268,4,"4) $350 - $500",474.94,0,1,"Urban",1,"Web","Mens E-Mail",1,0,0,0
270,6,"1) $0 - $100",32.17,1,0,"Urban",1,"Phone","Mens E-Mail",1,0,0,0
271,1,"3) $200 - $350",200.26,1,0,"Surburban",0,"Multichannel","No E-Mail",0,0,0,0
272,8,"7) $1,000 +",1137.96,0,1,"Surburban",1,"Phone","Mens E-Mail",1,0,0,0
273,9,"1) $0 - $100",51.53,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
274,3,"2) $100 - $200",177.36,0,1,"Surburban",1,"Web","Mens E-Mail",1,0,0,0
275,9,"1) $0 - $100",34.75,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0
276,8,"4) $350 - $500",402.84,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
277,1,"3) $200 - $350",276.21,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
278,1,"6) $750 - $1,000",960.02,1,1,"Rural",1,"Web","No E-Mail",0,1,0,0
279,1,"2) $100 - $200",100.92,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0
280,7,"3) $200 - $350",348.44,0,1,"Surburban",1,"Web","Mens E-Mail",1,0,0,0
281,11,"1) $0 - $100",29.99,0,1,"Rural",0,"Web","Mens E-Mail",1,0,0,0
284,4,"3) $200 - $350",218.92,0,1,"Surburban",0,"Web","Mens E-Mail",1,1,0,0
285,3,"2) $100 - $200",109.34,0,1,"Surburban",0,"Phone","Mens E-Mail",1,0,0,0
286,2,"1) $0 - $100",32.18,1,0,"Surburban",1,"Web","Mens E-Mail",1,0,0,0
287,7,"3) $200 - $350",287.73,1,1,"Urban",0,"Web","No E-Mail",0,1,0,0
288,4,"1) $0 - $100",29.99,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0
289,12,"1) $0 - $100",98.17,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
290,5,"5) $500 - $750",728.99,1,0,"Urban",1,"Web","Mens E-Mail",1,0,0,0
291,9,"4) $350 - $500",483.16,1,1,"Urban",0,"Phone","Mens E-Mail",1,1,0,0
292,4,"1) $0 - $100",93.36,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
294,9,"1) $0 - $100",44.68,1,0,"Urban",0,"Phone","No E-Mail",0,0,0,0
297,8,"2) $100 - $200",167.05,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
298,3,"2) $100 - $200",179.31,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0
299,1,"3) $200 - $350",290.03,1,1,"Urban",0,"Web","No E-Mail",0,1,0,0
300,1,"1) $0 - $100",89.59,0,1,"Surburban",1,"Web","Mens E-Mail",1,0,0,0
302,1,"3) $200 - $350",248.43,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
303,3,"2) $100 - $200",141.2,0,1,"Surburban",1,"Phone","No E-Mail",0,0,0,0
304,7,"1) $0 - $100",29.99,1,0,"Urban",0,"Web","No E-Mail",0,0,0,0
305,6,"2) $100 - $200",113.6,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
306,9,"3) $200 - $350",302.52,1,0,"Urban",0,"Phone","Mens E-Mail",1,0,0,0
307,3,"1) $0 - $100",73.99,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
309,12,"2) $100 - $200",103.6,1,0,"Rural",0,"Phone","No E-Mail",0,0,0,0
310,1,"2) $100 - $200",137.29,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
311,6,"2) $100 - $200",114.74,1,0,"Urban",0,"Web","No E-Mail",0,1,0,0
312,5,"1) $0 - $100",29.99,0,1,"Urban",0,"Web","Mens E-Mail",1,0,0,0
313,1,"4) $350 - $500",386.11,1,1,"Urban",0,"Multichannel","Mens E-Mail",1,0,0,0
314,8,"1) $0 - $100",45.78,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
315,6,"4) $350 - $500",358.77,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0
316,5,"2) $100 - $200",141.74,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
317,9,"3) $200 - $350",205.33,1,0,"Surburban",1,"Multichannel","Mens E-Mail",1,0,0,0
318,1,"5) $500 - $750",629.85,1,0,"Urban",1,"Web","Mens E-Mail",1,1,0,0
319,9,"4) $350 - $500",383.77,0,1,"Surburban",1,"Phone","Mens E-Mail",1,1,0,0
320,6,"1) $0 - $100",64.33,1,0,"Rural",0,"Web","No E-Mail",0,1,0,0
322,6,"2) $100 - $200",108.83,1,0,"Urban",0,"Phone","Mens E-Mail",1,0,0,0
323,4,"2) $100 - $200",121.87,1,0,"Rural",0,"Web","No E-Mail",0,0,0,0
324,10,"4) $350 - $500",489.29,0,1,"Surburban",0,"Phone","Mens E-Mail",1,0,0,0
325,2,"2) $100 - $200",199.97,0,1,"Surburban",0,"Phone","Mens E-Mail",1,0,0,0
329,3,"1) $0 - $100",66.47,1,0,"Rural",1,"Web","Mens E-Mail",1,0,0,0
330,9,"1) $0 - $100",33.63,0,1,"Rural",0,"Phone","No E-Mail",0,0,0,0
332,10,"2) $100 - $200",161.43,0,1,"Surburban",1,"Web","No E-Mail",0,1,0,0
333,12,"1) $0 - $100",90.15,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,0
334,1,"5) $500 - $750",681.12,1,0,"Rural",1,"Phone","Mens E-Mail",1,0,0,0
335,9,"2) $100 - $200",198.54,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
336,11,"3) $200 - $350",301,1,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
337,2,"4) $350 - $500",378.5,0,1,"Urban",0,"Web","Mens E-Mail",1,1,1,80.58
338,10,"2) $100 - $200",131.95,0,1,"Surburban",0,"Phone","No E-Mail",0,1,0,0
342,6,"2) $100 - $200",107.42,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0
344,7,"3) $200 - $350",297.6,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
346,9,"1) $0 - $100",89.96,1,0,"Surburban",0,"Web","Mens E-Mail",1,1,0,0
347,8,"2) $100 - $200",155.75,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0
348,8,"2) $100 - $200",135.67,1,0,"Rural",1,"Web","Mens E-Mail",1,0,0,0
349,9,"4) $350 - $500",404.03,1,1,"Urban",0,"Multichannel","No E-Mail",0,0,0,0
351,12,"1) $0 - $100",36.67,0,1,"Urban",0,"Web","Mens E-Mail",1,1,1,195.83
352,1,"5) $500 - $750",563.7,1,0,"Surburban",1,"Multichannel","Mens E-Mail",1,0,0,0
354,1,"4) $350 - $500",357.56,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
356,7,"7) $1,000 +",1222.53,1,1,"Rural",1,"Phone","Mens E-Mail",1,1,0,0
357,5,"1) $0 - $100",67.55,1,0,"Surburban",0,"Phone","Mens E-Mail",1,0,0,0
358,9,"2) $100 - $200",108.59,1,0,"Rural",1,"Web","Mens E-Mail",1,0,0,0
360,7,"2) $100 - $200",153.17,1,0,"Rural",0,"Phone","Mens E-Mail",1,0,0,0
361,4,"2) $100 - $200",127.51,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0
362,8,"1) $0 - $100",60.9,0,1,"Rural",1,"Phone","No E-Mail",0,0,0,0
364,12,"2) $100 - $200",145.27,1,0,"Urban",1,"Web","Mens E-Mail",1,0,0,0
365,11,"2) $100 - $200",112.61,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0
367,5,"1) $0 - $100",37.79,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0
370,9,"3) $200 - $350",297.59,0,1,"Surburban",1,"Phone","Mens E-Mail",1,1,1,118.39
371,7,"4) $350 - $500",409.76,1,1,"Urban",0,"Multichannel","Mens E-Mail",1,0,0,0
374,7,"1) $0 - $100",29.99,0,1,"Urban",0,"Phone","No E-Mail",0,0,0,0
375,1,"1) $0 - $100",87,0,1,"Rural",1,"Phone","Mens E-Mail",1,0,0,0
376,2,"1) $0 - $100",46.47,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
